dataset,backbone,regime,event_recall_base,event_recall_bech,event_recall_delta,complete_miss_rate_base,complete_miss_rate_bech,complete_miss_rate_delta,boundary_mismatch_rate_base,boundary_mismatch_rate_bech,boundary_mismatch_rate_delta,fragmented_rate_base,fragmented_rate_bech,fragmented_rate_delta,exact_boundary_rate_base,exact_boundary_rate_bech,exact_boundary_rate_delta,point_recall_base,point_recall_bech,point_recall_delta,point_precision_base,point_precision_bech,point_precision_delta,mae_on_true_event_hours_base,mae_on_true_event_hours_bech,mae_on_true_event_hours_delta
NEM_NSW1,Linear,negative,0.4661016949152542,0.4661016949152542,0.0,0.5338983050847458,0.5338983050847458,0.0,0.4152542372881356,0.4152542372881356,0.0,0.029661016949152543,0.029661016949152543,0.0,0.0211864406779661,0.0211864406779661,0.0,0.4419889502762431,0.4419889502762431,0.0,0.7395993836671803,0.7395993836671803,0.0,42.089834899663465,42.089834899663465,0.0
NEM_NSW1,Linear,spike,0.12121212121212122,0.12121212121212122,0.0,0.8787878787878788,0.8787878787878788,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.09836065573770492,0.09836065573770492,0.0,0.11764705882352941,0.11764705882352941,0.0,2653.0945195971894,2653.0945195971894,0.0
NEM_SA1,GBDT,negative,0.5661375661375662,0.6904761904761905,0.1243386243386243,0.43386243386243384,0.30952380952380953,-0.1243386243386243,0.3783068783068783,0.5238095238095238,0.14550264550264552,0.18253968253968253,0.14814814814814814,-0.03439153439153439,0.005291005291005291,0.018518518518518517,0.013227513227513227,0.3193050193050193,0.5111969111969112,0.19189189189189193,0.7615101289134438,0.6899426784783742,-0.07156745043506962,101.25752137697475,85.96940880088555,-15.288112576089205
NEM_SA1,GBDT,spike,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143,0.7142857142857143,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37254901960784315,0.37254901960784315,0.0,0.06551724137931035,0.06713780918727916,0.0016205678079688063,2896.1278159152657,2896.1278159152657,0.0
NEM_SA1,Linear,negative,0.48677248677248675,0.6455026455026456,0.15873015873015883,0.5132275132275133,0.3544973544973545,-0.15873015873015878,0.4708994708994709,0.5978835978835979,0.12698412698412703,0.007936507936507936,0.013227513227513227,0.005291005291005291,0.007936507936507936,0.03439153439153439,0.026455026455026454,0.361003861003861,0.5096525096525096,0.14864864864864863,0.7937181663837012,0.7525655644241733,-0.04115260195952786,81.1925080125388,71.11532392109116,-10.077184091447634
NEM_SA1,Linear,spike,0.09523809523809523,0.09523809523809523,0.0,0.9047619047619048,0.9047619047619048,0.0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.0392156862745098,0.0,0.08695652173913043,0.08695652173913043,0.0,3112.7590525764967,3112.7590525764967,0.0
NEM_VIC1,GBDT,negative,0.45345345345345345,0.6006006006006006,0.14714714714714716,0.5465465465465466,0.3993993993993994,-0.14714714714714716,0.4114114114114114,0.5705705705705706,0.15915915915915918,0.03003003003003003,0.018018018018018018,-0.012012012012012012,0.012012012012012012,0.012012012012012012,0.0,0.36270691333982474,0.5024342745861733,0.13972736124634855,0.6723826714801444,0.6157517899761337,-0.056630881504010744,44.90760968417959,39.614066605515305,-5.293543078664285
NEM_VIC1,GBDT,spike,0.33333333333333337,0.33333333333333337,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571428571428571,0.2571428571428571,0.0,0.140625,0.140625,0.0,2820.9681111510986,2820.9681111510986,0.0
NEM_VIC1,Linear,negative,0.4504504504504504,0.5495495495495495,0.09909909909909909,0.5495495495495496,0.45045045045045046,-0.09909909909909914,0.4264264264264264,0.5135135135135135,0.08708708708708707,0.0,0.006006006006006006,0.006006006006006006,0.024024024024024024,0.03003003003003003,0.006006006006006006,0.37877312560856863,0.47370983446932813,0.0949367088607595,0.7243947858472998,0.6994967649173257,-0.024898020929974063,49.784353873279414,45.14851793335423,-4.635835939925187
NEM_VIC1,Linear,spike,0.16666666666666663,0.16666666666666663,0.0,0.8333333333333334,0.8333333333333334,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.07352941176470588,0.07692307692307693,0.0033936651583710425,2780.7570187637693,2780.7570187637693,0.0
