dataset,backbone,regime,predictor,n_true_events,n_pred_events,event_recall,complete_miss_rate,boundary_mismatch_rate,fragmented_rate,exact_boundary_rate,mean_best_iou_matched,mean_boundary_l1_h_matched,mean_duration_abs_error_h_matched,false_event_rate,point_recall,point_precision,mae_on_true_event_hours,spike_thr_train
LAGO_PJM,GBDT,spike,base,6,14,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0.0,0.31547619047619047,4.4,4.4,0.6428571428571429,0.8181818181818182,0.140625,60.42584707145667,114.50219567999999
LAGO_PJM,GBDT,spike,bech,6,14,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,0.0,0.31547619047619047,4.4,4.4,0.6428571428571429,0.8181818181818182,0.140625,60.42584707145667,114.50219567999999
LAGO_NP,Linear,negative,base,0,0,,,,,,,,,,,,,53.35889999999999
LAGO_NP,Linear,negative,bech,0,0,,,,,,,,,,,,,53.35889999999999
LAGO_NP,Linear,spike,base,186,136,0.564516129032258,0.43548387096774194,0.43548387096774194,0.03225806451612903,0.0967741935483871,0.7012308910396039,2.676190476190476,2.5047619047619047,0.20588235294117646,0.6870109546165885,0.8633235004916421,4.295985290697399,53.35889999999999
LAGO_NP,Linear,spike,bech,186,136,0.564516129032258,0.43548387096774194,0.43548387096774194,0.03225806451612903,0.0967741935483871,0.7012308910396039,2.676190476190476,2.5047619047619047,0.20588235294117646,0.6870109546165885,0.8633235004916421,4.295985290697399,53.35889999999999
LAGO_NP,GBDT,negative,base,0,0,,,,,,,,,,,,,53.35889999999999
LAGO_NP,GBDT,negative,bech,0,0,,,,,,,,,,,,,53.35889999999999
LAGO_NP,GBDT,spike,base,186,97,0.32258064516129037,0.6774193548387096,0.22043010752688172,0.053763440860215055,0.04838709677419355,0.54588807599063,4.85,4.75,0.24742268041237114,0.23708920187793428,0.7231503579952268,7.8247094544180875,53.35889999999999
LAGO_NP,GBDT,spike,bech,186,97,0.32258064516129037,0.6774193548387096,0.22043010752688172,0.053763440860215055,0.04838709677419355,0.54588807599063,4.85,4.75,0.24742268041237114,0.23708920187793428,0.7231503579952268,7.8247094544180875,53.35889999999999
NEM_SA1,Linear,negative,base,378,211,0.48677248677248675,0.5132275132275133,0.4708994708994709,0.007936507936507936,0.007936507936507936,0.5178474065811696,4.891304347826087,4.304347826086956,0.14691943127962084,0.361003861003861,0.7937181663837012,81.1925080125388,612.0564999999992
NEM_SA1,Linear,negative,bech,378,296,0.6455026455026456,0.3544973544973545,0.5978835978835979,0.013227513227513227,0.03439153439153439,0.5686454309294106,4.168032786885246,3.5368852459016393,0.20270270270270271,0.5096525096525096,0.7525655644241733,71.11532392109116,612.0564999999992
NEM_SA1,Linear,spike,base,21,9,0.09523809523809523,0.9047619047619048,0.09523809523809523,0.0,0.0,0.18333333333333335,4.5,3.5,0.7777777777777778,0.0392156862745098,0.08695652173913043,3112.7590525764967,612.0564999999992
NEM_SA1,Linear,spike,bech,21,9,0.09523809523809523,0.9047619047619048,0.09523809523809523,0.0,0.0,0.18333333333333335,4.5,3.5,0.7777777777777778,0.0392156862745098,0.08695652173913043,3112.7590525764967,612.0564999999992
NEM_SA1,GBDT,negative,base,378,389,0.5661375661375662,0.43386243386243384,0.3783068783068783,0.18253968253968253,0.005291005291005291,0.3928870971456906,5.771028037383178,5.481308411214953,0.2467866323907455,0.3193050193050193,0.7615101289134438,101.25752137697475,612.0564999999992
