component,role,metric,cell,market,host,on_config,off_config,on_value,off_value,delta_on_minus_off,favours
shape_semantic_context,diagnostic,mass_negative_l1,NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,1082.7320927719286,825.1601039341518,257.57198883777676,OFF
shape_semantic_context,diagnostic,mass_negative_l1,QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,872.2869059244791,938.6207071940104,-66.33380126953125,ON
shape_semantic_context,diagnostic,mass_negative_l1,QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,288.15328216552734,308.1114018758138,-19.95811971028644,ON
shape_semantic_context,diagnostic,mass_negative_l1,QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,528.6715749104818,521.9485727945963,6.7230021158854925,OFF
shape_semantic_context,diagnostic,mass_negative_l1,QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,704.4203440348307,699.2418568929037,5.1784871419270075,OFF
shape_semantic_context,diagnostic,mass_negative_l1,SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,835.9799432754517,939.6876176834106,-103.70767440795896,ON
shape_semantic_context,diagnostic,mass_negative_l1,SHAANXI_DA::PatchTST,SHAANXI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,735.4020523071289,789.9154434204102,-54.51339111328127,ON
shape_semantic_context,diagnostic,mass_negative_l1,SHAANXI_DA::TimeMixer,SHAANXI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,771.4972991943359,766.5568572998047,4.9404418945312045,OFF
shape_semantic_context,diagnostic,mass_negative_l1,SHAANXI_DA::iTransformer,SHAANXI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,887.403737449646,867.3307096481324,20.073027801513604,OFF
shape_semantic_context,diagnostic,mass_negative_l1,SHANDONG_DA::LSTM,SHANDONG_DA,LSTM,FULL,NO_SHAPE_CONTEXT,1619.7368014699257,840.5815459606124,779.1552555093133,OFF
shape_semantic_context,diagnostic,mass_negative_l1,SHANDONG_DA::PatchTST,SHANDONG_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,1278.6651632117623,781.7120807723301,496.95308243943225,OFF
shape_semantic_context,diagnostic,mass_negative_l1,SHANDONG_DA::TimeMixer,SHANDONG_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,1347.2629475389074,766.4198881504012,580.8430593885062,OFF
shape_semantic_context,diagnostic,mass_negative_l1,SHANDONG_DA::iTransformer,SHANDONG_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,1446.7853660963394,879.1374101667869,567.6479559295525,OFF
shape_semantic_context,diagnostic,overall_mae,GANSU_DA::LSTM,GANSU_DA,LSTM,FULL,NO_SHAPE_CONTEXT,128.68049077566195,77.17167324540026,51.508817530261695,OFF
shape_semantic_context,diagnostic,overall_mae,GANSU_DA::PatchTST,GANSU_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,70.62005220867601,72.20074046026609,-1.5806882515900753,ON
shape_semantic_context,diagnostic,overall_mae,GANSU_DA::TimeMixer,GANSU_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,73.98416684498994,69.64447495108236,4.339691893907585,OFF
shape_semantic_context,diagnostic,overall_mae,GANSU_DA::iTransformer,GANSU_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,68.46436418553454,64.07861319824276,4.385750987291772,OFF
shape_semantic_context,diagnostic,overall_mae,NINGXIA_DA::LSTM,NINGXIA_DA,LSTM,FULL,NO_SHAPE_CONTEXT,75.73468301409767,72.29372745556759,3.440955558530078,OFF
shape_semantic_context,diagnostic,overall_mae,NINGXIA_DA::PatchTST,NINGXIA_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,82.47408810115996,82.35160816635008,0.12247993480988839,OFF
shape_semantic_context,diagnostic,overall_mae,NINGXIA_DA::TimeMixer,NINGXIA_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,92.56650777090164,86.79395240686434,5.772555364037302,OFF
shape_semantic_context,diagnostic,overall_mae,NINGXIA_DA::iTransformer,NINGXIA_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,86.55437153861637,86.17704428409641,0.37732725451995464,OFF
shape_semantic_context,diagnostic,overall_mae,QINGHAI_DA::LSTM,QINGHAI_DA,LSTM,FULL,NO_SHAPE_CONTEXT,142.19880583164613,141.79738858644149,0.40141724520464095,OFF
shape_semantic_context,diagnostic,overall_mae,QINGHAI_DA::PatchTST,QINGHAI_DA,PatchTST,FULL,NO_SHAPE_CONTEXT,121.0721591729013,114.05269209984444,7.019467073056859,OFF
shape_semantic_context,diagnostic,overall_mae,QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,FULL,NO_SHAPE_CONTEXT,129.04207852124253,131.4958347145874,-2.453756193344873,ON
shape_semantic_context,diagnostic,overall_mae,QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,NO_SHAPE_CONTEXT,141.59022561622464,136.2634839739172,5.326741642307439,OFF
