physical_market_group,dataset_id,backbone,method,method_display,partition,n_days,n_hours,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,Extreme_day_MAE,Extreme_day_MAE_Host,n_extreme_days,extreme_day_subset_status,Upper_tail_day_MAE,n_upper_tail_days,upper_tail_day_subset_status,negative_price_subset_status,n_negative_hours,Negative_price_MAE,Negative_price_MAE_Host,n_negative_days,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,Tail_MAE_Host,fidelity_status,table
SHAANXI,SHAANXI_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,20,480,99.99750287582476,18706.264478332196,136.77084659507008,101.63885358969371,1.6148851112537344,141.11246327036307,425.82662887232647,76.8221678118552,92.26300537586212,93.85599567866561,-1.5929903028034857,138.18053332467875,139.31784216562906,2,OK,112.3353990505139,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404,143.01088774831672,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main
SHAANXI,SHAANXI_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,20,480,107.82356026172639,20768.156318440168,144.11161063023397,101.63885358969371,-6.084982714385722,156.70051333778784,420.3139899117606,97.17488959527785,98.62888592068512,93.85599567866561,4.772890242019514,142.71270163853964,139.31784216562906,2,OK,106.85832578341166,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404,143.01088774831672,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main
SHAANXI,SHAANXI_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,20,480,99.74069322745005,18070.611137450574,134.42697325109486,99.74069322745005,0.0,140.63074182209215,397.98812321254184,82.51778473392609,92.04850586806194,92.04850586806194,0.0,123.67640686035156,123.67640686035156,2,OK,96.46707221666972,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404,140.63074182209215,"frozen Host, no post-processing",strict_offline_main
SHAANXI,SHAANXI_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,20,480,127.91083670289566,27958.23533234431,167.20716292176095,99.74069322745005,-28.243380473811253,156.5577811567407,278.4932643345424,129.02396237465643,122.52180754821194,92.04850586806194,30.47330168015,129.87683453162512,123.67640686035156,2,OK,122.14783599637448,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404,140.63074182209215,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main
SHAANXI,SHAANXI_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,20,480,99.66677856228004,18062.462611490882,134.39666145961692,99.74069322745005,0.07410682919703816,140.66000850459463,397.0086015973772,82.7748423223534,91.95518085035947,92.04850586806194,-0.09332501770246893,123.48757162193458,123.67640686035156,2,OK,96.25640462202331,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404,140.63074182209215,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main
SHAANXI,SHAANXI_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,20,480,108.97536199092865,22065.132398799768,148.54336874731152,99.74069322745005,-9.258677140352061,170.16591584055047,467.55820029122486,103.0128193516885,97.46426770238592,92.04850586806194,5.4157618343239875,138.8868327140808,123.67640686035156,2,OK,112.01031629244487,10,OK,NOT_APPLICABLE_N0,0,,,0,14,62,404,140.63074182209215,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main
NINGXIA,NINGXIA_DA,PatchTST,Host,Host (frozen),DEV_EVAL,7,168,82.47408810115996,10526.842162150724,102.60040039956337,82.47408810115996,0.0,73.18104904417008,,73.18104904417008,88.04991153535389,88.04991153535389,0.0,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,73.18104904417008,"frozen Host, no post-processing",strict_offline_main
NINGXIA,NINGXIA_DA,PatchTST,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,7,168,100.67551017978361,17762.77836523301,133.27707366697774,82.47408810115996,-22.069261385828714,67.79509367356225,,67.79509367356225,120.40376008351645,88.04991153535389,32.35384854816256,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,73.18104904417008,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main
NINGXIA,NINGXIA_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,7,168,81.63252032796542,10460.006198102448,102.27417170577549,82.47408810115996,1.020402641084436,72.42038621599713,,72.42038621599713,87.1598007951464,88.04991153535389,-0.8901107402074899,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,73.18104904417008,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main
NINGXIA,NINGXIA_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,7,168,98.81075234640213,16656.632505683756,129.06057688420486,82.47408810115996,-19.80823871032579,84.1237556820824,,84.1237556820824,107.62295034499395,88.04991153535389,19.573038809640067,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,73.18104904417008,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main
NINGXIA,NINGXIA_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,7,168,92.56650777090164,12007.09554144507,109.57689328250308,92.56650777090164,0.0,99.5849840678866,,99.5849840678866,88.35542199271066,88.35542199271066,0.0,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,99.5849840678866,"frozen Host, no post-processing",strict_offline_main
NINGXIA,NINGXIA_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,7,168,107.24015696559634,19436.789250190737,139.41588593195087,92.56650777090164,-15.852006895422038,65.84696384460207,,65.84696384460207,132.07607283819289,88.35542199271066,43.720650845482226,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,99.5849840678866,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main
NINGXIA,NINGXIA_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,7,168,91.88305592678842,11865.763343806659,108.93008465895296,92.56650777090164,0.7383359927596465,99.10003402119591,,99.10003402119591,87.55286907014393,88.35542199271066,-0.8025529225667327,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,99.5849840678866,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main
NINGXIA,NINGXIA_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,7,168,106.05857006708781,18198.952849146615,134.90349457722218,92.56650777090164,-14.575533441942614,98.77126130603608,,98.77126130603608,110.43095532371885,88.35542199271066,22.075533331008188,,,0,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0,0,63,105,99.5849840678866,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main
QINGHAI,QINGHAI_DA,PatchTST,Host,Host (frozen),DEV_EVAL,6,144,110.85987186431885,19089.737805278215,138.16561730502352,110.85987186431885,0.0,111.58940823872884,174.3548856462751,71.64774079756303,110.13033548990886,110.13033548990886,0.0,117.06361274719238,117.06361274719238,5,OK,117.06361274719238,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,111.58940823872884,"frozen Host, no post-processing",strict_offline_main
QINGHAI,QINGHAI_DA,PatchTST,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,6,144,125.52915040817525,27527.985829643247,165.91559851214487,110.85987186431885,-13.232270881397106,123.37657690379355,208.9073826926095,68.94788231091066,127.68172391255696,110.13033548990886,17.551388422648103,134.66674699982008,117.06361274719238,5,OK,134.66674699982008,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,111.58940823872884,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main
QINGHAI,QINGHAI_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,6,144,110.7663416200214,19086.643109093988,138.15441762424388,110.85987186431885,0.08436798881738386,111.56017703480191,174.78809901646204,71.32422668283635,109.97250620524089,110.13033548990886,-0.15782928466796875,116.9226934115092,117.06361274719238,5,OK,116.9226934115092,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,111.58940823872884,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main
QINGHAI,QINGHAI_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,6,144,146.19111601511636,33262.343814860134,182.37966941208148,110.85987186431885,-31.870183102898896,141.4701722462972,180.51618031093054,116.62271256880327,150.91205978393555,110.13033548990886,40.78172429402669,141.36109364827473,117.06361274719238,5,OK,141.36109364827473,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,111.58940823872884,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main
QINGHAI,QINGHAI_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,6,144,114.15169938405354,21590.61180876223,146.937441820532,114.15169938405354,0.0,104.84685452779134,194.42909676688058,47.83997310291637,123.45654424031575,123.45654424031575,0.0,117.19632911682129,117.19632911682129,5,OK,117.19632911682129,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,104.84685452779134,"frozen Host, no post-processing",strict_offline_main
QINGHAI,QINGHAI_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,6,144,145.22210892041525,37296.99011889474,193.12428671426787,114.15169938405354,-27.218525614610428,135.28194559945,252.76249776567732,60.521594220941715,155.1622722413805,123.45654424031575,31.70572800106474,154.48082056045533,117.19632911682129,5,OK,154.48082056045533,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,104.84685452779134,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,strict_offline_main
QINGHAI,QINGHAI_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,6,144,114.3556128491958,21641.342449525357,147.109967199797,114.15169938405354,-0.17863375336726334,105.11685559815831,194.21502249581474,48.41802211783149,123.59437010023329,123.45654424031575,0.13782585991754104,117.44871287544568,117.19632911682129,5,OK,117.44871287544568,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,104.84685452779134,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,strict_offline_main
QINGHAI,QINGHAI_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,6,144,171.94253529442682,46748.45198589951,216.21390331312998,114.15169938405354,-50.6263474150665,162.15878126356336,171.29490116664343,156.34488677978516,181.72628932529025,123.45654424031575,58.2697450849745,160.04654820760092,117.19632911682129,5,OK,160.04654820760092,5,OK,NOT_APPLICABLE_N0,0,,,0,28,44,72,104.84685452779134,PAPER_FAITHFUL_EXACT_ACCEPTED,strict_offline_main
