physical_market_group,dataset_id,backbone,method,method_display,partition,fidelity_status,setting,table,n_days,n_hours,Overall_MAE,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,Tail_MAE_Host,Extreme_day_MAE,n_extreme_days,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,n_upper_tail_days,upper_tail_day_subset_status,negative_price_subset_status,n_negative_hours,Negative_price_MAE,Negative_price_MAE_Host,n_negative_days
NINGXIA,NINGXIA_DA,PatchTST,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,82.47408810115996,10526.842162150724,102.60040039956337,82.47408810115996,0.0,73.18104904417008,,73.18104904417008,88.04991153535389,88.04991153535389,0.0,0,63,105,73.18104904417008,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,PatchTST,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,100.67551017978361,17762.77836523301,133.27707366697774,82.47408810115996,-22.069261385828714,67.79509367356225,,67.79509367356225,120.40376008351645,88.04991153535389,32.35384854816256,0,63,105,73.18104904417008,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,PatchTST,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,81.63252032796542,10460.006198102448,102.27417170577549,82.47408810115996,1.020402641084436,72.42038621599713,,72.42038621599713,87.1598007951464,88.04991153535389,-0.8901107402074899,0,63,105,73.18104904417008,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,PatchTST,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,98.81075234640213,16656.632505683756,129.06057688420486,82.47408810115996,-19.80823871032579,84.1237556820824,,84.1237556820824,107.62295034499395,88.04991153535389,19.573038809640067,0,63,105,73.18104904417008,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,PatchTST,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,7,168,82.46809701408658,10526.902043808057,102.6006922189517,82.47408810115996,0.007264205293224413,73.13844306128365,,73.13844306128365,88.06588938576834,88.04991153535389,0.015977850414458317,0,63,105,73.18104904417008,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,TimeMixer,Host,Host (frozen),DEV_EVAL,"frozen Host, no post-processing",STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,92.56650777090164,12007.09554144507,109.57689328250308,92.56650777090164,0.0,99.5849840678866,,99.5849840678866,88.35542199271066,88.35542199271066,0.0,0,63,105,99.5849840678866,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,TimeMixer,MatchedDirectResidual,MatchedDirectResidual,DEV_EVAL,INTERNAL_CONTROL / NOT_A_PAPER_METHOD,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,107.24015696559634,19436.789250190737,139.41588593195087,92.56650777090164,-15.852006895422038,65.84696384460207,,65.84696384460207,132.07607283819289,88.35542199271066,43.720650845482226,0,63,105,99.5849840678866,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,TimeMixer,delta_Adapter_AdaY,delta-Adapter (Ada-Y),DEV_EVAL,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,91.88305592678842,11865.763343806659,108.93008465895296,92.56650777090164,0.7383359927596465,99.10003402119591,,99.10003402119591,87.55286907014393,88.35542199271066,-0.8025529225667327,0,63,105,99.5849840678866,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,TimeMixer,PIR_paper_protocol,PIR,DEV_EVAL,PAPER_FAITHFUL_EXACT_ACCEPTED,STRICT_OFFLINE_scored_on_held_out_days,strict_offline_main,7,168,106.05857006708781,18198.952849146615,134.90349457722218,92.56650777090164,-14.575533441942614,98.77126130603608,,98.77126130603608,110.43095532371885,88.35542199271066,22.075533331008188,0,63,105,99.5849840678866,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
NINGXIA,NINGXIA_DA,TimeMixer,COSA_online,COSA_online,DEV_EVAL,TRANSFERRED_IMPLEMENTATION / PAPER_FIDELITY_UNRESOLVED,ONLINE_TTA_scored_on_adapted_days,supplementary,7,168,92.54977250950677,12007.748928845695,109.57987465244562,92.56650777090164,0.018079175500808457,99.53137089714171,,99.53137089714171,88.3608134769258,88.35542199271066,0.0053914842151385756,0,63,105,99.5849840678866,,0,,NOT_APPLICABLE_N0,,0,NOT_APPLICABLE_N0,NOT_APPLICABLE_N0,0,,,0
