market,track,host,seed,method,Overall_MAE,Tail_MAE,Normal_MAE,MSE,relative_gain_pct,shape_cosine,wrong_hemisphere_rate,alpha,oof_calibrated_utility,parameter_count,incremental_parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,inference_overhead_seconds_per_day
LAGO_PJM,A_DA,PatchTST,7,Host,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,,
LAGO_PJM,A_DA,TimeMixer,7,Host,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,,
GANSU_DA,A_DA,PatchTST,17,S1_DailyPatch_GRU32,70.4341541722147,79.07448175643505,69.52464600545464,8005.2214164361085,2.2473246700798524,0.22724208235740662,0.23809523809523808,1.8119296414135204,0.057195249142046135,18712.0,5.0,10.492097900016233,0.0003619999624788761,1.7238093451375053e-05,0.0
GANSU_DA,A_DA,PatchTST,17,HRSI_HostRelativeStateInteraction,70.325647735747,80.12990156022998,69.29362101738036,8004.697026529597,2.3979163053439065,0.22748397290706635,0.19047619047619047,1.788726529082508,0.04350602620087303,18717.0,5.0,4.056009299994912,0.0005354999739211053,2.549999875814787e-05,8.261905306772816e-06
GANSU_DA,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,69.92446715649139,123.33969525898301,64.30181156675545,7476.480573768391,7.814544408766916,0.3926655948162079,0.047619047619047616,2.026945814895266,0.050766437371425374,18712.0,5.0,10.40962909994414,0.0003396999672986567,1.6176188918983653e-05,0.0
GANSU_DA,A_DA,TimeMixer,17,HRSI_HostRelativeStateInteraction,69.81827566133742,127.29460957462207,63.768135249412715,7548.573516516733,7.9545427778467115,0.3873589038848877,0.047619047619047616,1.912939291735568,0.052898524875715905,18717.0,5.0,4.056009299994912,0.0005093499494250864,2.4254759496432686e-05,8.078570577449032e-06
LAGO_DE,A_DA,PatchTST,17,S1_DailyPatch_GRU32,4.195557335041293,6.581716850214815,3.8269978335802457,33.129463811469705,11.793601357046942,0.47160834074020386,0.12844036697247707,2.4153807927298243,0.08845413465084966,14872.0,5.0,16.015533499943558,0.0010581000242382288,9.707339671910355e-06,0.0
LAGO_DE,A_DA,PatchTST,17,HRSI_HostRelativeStateInteraction,4.2241444096164,6.7201803412479695,3.8386137052602445,33.6143742888422,11.192593506445636,0.4532865583896637,0.13761467889908258,2.4470607399905187,0.08415001561488457,14877.0,5.0,4.056009299994912,0.0013251500204205513,1.2157339636885792e-05,2.4499999649754356e-06
LAGO_DE,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,4.3082407367489,6.558008405311133,3.960747937103365,35.0767234561306,8.463457788554477,0.4388386011123657,0.13761467889908258,2.2292709596930154,0.08580262444345747,14872.0,5.0,15.954405000025872,0.0006448000203818083,5.915596517264296e-06,0.0
LAGO_DE,A_DA,TimeMixer,17,HRSI_HostRelativeStateInteraction,4.33503783289051,6.57462122937886,3.9891180673252307,35.38880237021679,7.894103921861848,0.42017221450805664,0.11926605504587157,2.355391263359893,0.0796968605487782,14877.0,5.0,4.056009299994912,0.000903200008906424,8.286238613820404e-06,2.370642096556108e-06
LAGO_PJM,A_DA,PatchTST,17,S1_DailyPatch_GRU32,3.013094761807138,10.684002453773825,2.7711102920290087,18.579966016505246,0.21586427485821516,0.14918875694274902,0.3761467889908257,1.0216443728868245,0.016011593877982115,14104.0,5.0,16.464189300022554,0.000616899982560426,5.659632867526844e-06,0.0
LAGO_PJM,A_DA,PatchTST,17,HRSI_HostRelativeStateInteraction,3.0144281746472297,10.66506839196165,2.773083057381791,18.545794127116203,0.17170587350294006,0.15644140541553497,0.3669724770642202,1.0779469391998302,0.016216084953492436,14109.0,5.0,4.056009299994912,0.0008611000084783882,7.900000077783378e-06,2.2403672102565337e-06
LAGO_PJM,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,3.061235350998428,8.174372969414806,2.899937634329142,18.006846171814047,4.9646869063667145,0.4221581518650055,0.11926605504587157,2.3746229009693502,0.09762303346199643,14104.0,5.0,16.562660299998242,0.000635799951851368,5.833027081205211e-06,0.0
LAGO_PJM,A_DA,TimeMixer,17,HRSI_HostRelativeStateInteraction,3.0673644545060217,8.190438434841397,2.905753287933928,18.02110238193639,4.774410366329546,0.4213830828666687,0.11926605504587157,2.426878829886528,0.10155704356790028,14109.0,5.0,4.056009299994912,0.0008579499553889036,7.871100508155079e-06,2.0380734269498686e-06
GANSU_DA,A_DA,PatchTST,17,Host,72.05342864990234,102.734130859375,68.82388305664062,8323.4677734375,0.0,,,,,,,,,,
GANSU_DA,A_DA,TimeMixer,17,Host,75.8519515991211,157.5843505859375,67.24855041503906,8859.599609375,0.0,,,,,,,,,,
LAGO_DE,A_DA,PatchTST,17,Host,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,0.0,,,,,,,,,,
LAGO_DE,A_DA,TimeMixer,17,Host,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,0.0,,,,,,,,,,
LAGO_PJM,A_DA,PatchTST,17,Host,3.019613027572632,10.558648109436035,2.7817885875701904,19.001419067382812,0.0,,,,,,,,,,
LAGO_PJM,A_DA,TimeMixer,17,Host,3.2211556434631348,9.623579978942871,3.019186496734619,20.96799087524414,0.0,,,,,,,,,,
GANSU_DA,A_DA,PatchTST,37,S1_DailyPatch_GRU32,69.44439125496409,78.67012825567686,68.47326104436274,7822.107051093381,3.6209760504461315,0.24607697129249573,0.2857142857142857,1.7094198107261478,0.02128553613900062,18712.0,5.0,10.03114719997393,0.000354000017978251,1.6857143713250045e-05,0.0
GANSU_DA,A_DA,PatchTST,37,HRSI_HostRelativeStateInteraction,69.32917905088112,83.4161036389972,67.84634488371103,7826.156907369256,3.780874345699735,0.24784652888774872,0.23809523809523808,1.3928269599859417,0.026483295844220375,18717.0,5.0,3.9979216000065207,0.0004989500157535076,2.3759524559690837e-05,6.902380846440792e-06
GANSU_DA,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,70.74957722012466,129.26719515101644,64.58982796424131,7730.546412053176,6.726754251443086,0.3314637839794159,0.19047619047619047,2.113629164219349,0.03692721424674292,18712.0,5.0,10.374290300009307,0.0003449000068940222,1.6423809852096295e-05,0.0
