market,host,method,tertile,frozen_threshold_low,frozen_threshold_high,n_days,shape_cosine,wrong_hemisphere_rate,relative_gain_pct,Tail_MAE,Normal_MAE,HRSI_minus_S1_shape_cosine,HRSI_minus_S1_wrong_hemisphere_rate,HRSI_minus_S1_relative_gain_pct,HRSI_minus_S1_Tail_MAE,HRSI_minus_S1_Normal_MAE
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,LOW,15.197971762922895,18.80906967368669,6.0,0.5036786198616028,0.0,12.490530131385748,120.38585173777469,68.51815677437042,,,,,
GANSU_DA,TimeMixer,S1_DailyPatch_GRU32,MID,15.197971762922895,18.80906967368669,4.0,0.2855288088321686,0.0,1.7391547996922079,130.45151108938197,62.01040583628442,,,,,
LAGO_DE,PatchTST,HRSI_HostRelativeStateInteraction,HIGH,4.542198132076192,11.542981655057504,35.0,0.5253732204437256,0.08571428571428572,15.357401313149621,5.1203326685260215,4.2113453772549585,-0.008574306964874268,0.028571428571428574,0.008416580258666428,0.08216708985988319,-0.005618030829431575
LAGO_DE,PatchTST,HRSI_HostRelativeStateInteraction,LOW,4.542198132076192,11.542981655057504,36.0,0.38891783356666565,0.15789473684210525,8.48545404391104,8.227305298529048,3.515869174876762,-0.025849103927612305,0.02631578947368421,-1.536944083643636,0.1616311062838065,0.06655356039411986
LAGO_DE,PatchTST,HRSI_HostRelativeStateInteraction,MID,4.542198132076192,11.542981655057504,36.0,0.3924405872821808,0.16666666666666666,8.283640222300798,8.519691750393358,3.9639332220770007,-0.018948644399642944,0.027777777777777762,-0.30076320345403396,0.15588671239919627,-0.0029947083429355814
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,HIGH,4.542198132076192,11.542981655057504,35.0,0.5339475274085999,0.05714285714285714,15.348984732890955,5.038165578666138,4.21696340808439,,,,,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,LOW,4.542198132076192,11.542981655057504,36.0,0.41476693749427795,0.13157894736842105,10.022398127554677,8.065674192245242,3.449315614482642,,,,,
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,MID,4.542198132076192,11.542981655057504,36.0,0.41138923168182373,0.1388888888888889,8.584403425754832,8.363805037994162,3.9669279304199363,,,,,
LAGO_DE,TimeMixer,HRSI_HostRelativeStateInteraction,HIGH,4.428090955076361,11.487671365653464,36.0,0.47192585468292236,0.1111111111111111,9.96674583052838,4.604170316799348,4.355850240995848,-0.020462125539779663,0.05555555555555555,-0.5857052941740921,0.06240165066893599,0.02658986463369306
LAGO_DE,TimeMixer,HRSI_HostRelativeStateInteraction,LOW,4.428090955076361,11.487671365653464,34.0,0.393259197473526,0.24324324324324326,7.177884490386242,7.876797886493255,3.556822343918316,-0.023657679557800293,0.02702702702702703,-1.1850795147601012,0.07191614765371224,0.05586140195417855
LAGO_DE,TimeMixer,HRSI_HostRelativeStateInteraction,MID,4.428090955076361,11.487671365653464,37.0,0.38804179430007935,0.16666666666666666,7.773126382384847,9.588742772111132,4.057440147455658,-0.011847823858261108,0.0,-0.2876481166617406,0.01241495862059061,-0.002598515838893256
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,HIGH,4.428090955076361,11.487671365653464,36.0,0.492387980222702,0.05555555555555555,10.552451124702472,4.541768666130412,4.329260376362155,,,,,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,LOW,4.428090955076361,11.487671365653464,34.0,0.4169168770313263,0.21621621621621623,8.362964005146344,7.804881738839542,3.5009609419641374,,,,,
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,MID,4.428090955076361,11.487671365653464,37.0,0.39988961815834045,0.16666666666666666,8.060774499046587,9.576327813490542,4.060038663294551,,,,,
