group,check,ok,detail
artifacts,hash::GANSU_DA::PatchTST::NO_TCN::s7,True,"{""on_disk"": ""46389EDF898C3DC4964D0C797E08759276724134141515CD38F4673ED17BE0B8"", ""indexed"": ""46389EDF898C3DC4964D0C797E08759276724134141515CD38F4673ED17BE0B8""}"
artifacts,identity::GANSU_DA::PatchTST::NO_TCN::s17,True,"{""config"": ""NO_TCN"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_TCN::s17,True,"{""on_disk"": ""57A824E5466E2C6452FEC4A49B789524C6C60FCD29FC301C254D73F1BF584800"", ""indexed"": ""57A824E5466E2C6452FEC4A49B789524C6C60FCD29FC301C254D73F1BF584800""}"
artifacts,identity::GANSU_DA::PatchTST::NO_TCN::s37,True,"{""config"": ""NO_TCN"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::NO_TCN::s37,True,"{""on_disk"": ""E80E7820686DEB411FD5ABE02E283E4C49F41D765EA8558E561933C146B4EF9F"", ""indexed"": ""E80E7820686DEB411FD5ABE02E283E4C49F41D765EA8558E561933C146B4EF9F""}"
artifacts,identity::GANSU_DA::PatchTST::TIED_AMPLITUDE::s7,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::TIED_AMPLITUDE::s7,True,"{""on_disk"": ""2EAF9BE00BFCBF9F45CFBDE84AF0FA26691007753F598ACD2BC45AA799A5B2C2"", ""indexed"": ""2EAF9BE00BFCBF9F45CFBDE84AF0FA26691007753F598ACD2BC45AA799A5B2C2""}"
artifacts,identity::GANSU_DA::PatchTST::TIED_AMPLITUDE::s17,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::TIED_AMPLITUDE::s17,True,"{""on_disk"": ""27506DD9E28C0C777AD0B3ED6979ED3381C01BAF254AACC3A041AB53A7AA1B5B"", ""indexed"": ""27506DD9E28C0C777AD0B3ED6979ED3381C01BAF254AACC3A041AB53A7AA1B5B""}"
artifacts,identity::GANSU_DA::PatchTST::TIED_AMPLITUDE::s37,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::PatchTST::TIED_AMPLITUDE::s37,True,"{""on_disk"": ""52B1E2A75EA800F5DF91686DC3966BF574BC8DD4CB6E3410098581D03652AF87"", ""indexed"": ""52B1E2A75EA800F5DF91686DC3966BF574BC8DD4CB6E3410098581D03652AF87""}"
artifacts,identity::GANSU_DA::TimeMixer::FULL::s7,True,"{""config"": ""FULL"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::FULL::s7,True,"{""on_disk"": ""1D9ADAF903E141B9A0E53FA9DCAA8444E8D227E959EF6C5C6828981826666D10"", ""indexed"": ""1D9ADAF903E141B9A0E53FA9DCAA8444E8D227E959EF6C5C6828981826666D10""}"
artifacts,identity::GANSU_DA::TimeMixer::FULL::s17,True,"{""config"": ""FULL"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::FULL::s17,True,"{""on_disk"": ""260EC90FAEF133DE5C089ED81BDB99A6A5E11DCE5D7DBA7343E4DE6FE72901E5"", ""indexed"": ""260EC90FAEF133DE5C089ED81BDB99A6A5E11DCE5D7DBA7343E4DE6FE72901E5""}"
artifacts,identity::GANSU_DA::TimeMixer::FULL::s37,True,"{""config"": ""FULL"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::FULL::s37,True,"{""on_disk"": ""AA6E3EFDCD5011F7E6F3E6AE9B566E6B4EE45AD0FF5850076079D998238783E2"", ""indexed"": ""AA6E3EFDCD5011F7E6F3E6AE9B566E6B4EE45AD0FF5850076079D998238783E2""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_RARE_MASS::s7,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_RARE_MASS::s7,True,"{""on_disk"": ""D493B186CF45B536B9AEC12C1985FE2B4EAB137A5FA03AE6BE7EE97018A6545F"", ""indexed"": ""D493B186CF45B536B9AEC12C1985FE2B4EAB137A5FA03AE6BE7EE97018A6545F""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_RARE_MASS::s17,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_RARE_MASS::s17,True,"{""on_disk"": ""447FB659284E3EACC55FDCD5F15CB4F80559E227038E7DD66FCFAC7901855B90"", ""indexed"": ""447FB659284E3EACC55FDCD5F15CB4F80559E227038E7DD66FCFAC7901855B90""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_RARE_MASS::s37,True,"{""config"": ""NO_RARE_MASS"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_RARE_MASS::s37,True,"{""on_disk"": ""16DC702B0C998F352991AD98D71DAB9D0B86AB1690D2263A62A13B6926A3386F"", ""indexed"": ""16DC702B0C998F352991AD98D71DAB9D0B86AB1690D2263A62A13B6926A3386F""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_SHAPE_CONTEXT::s7,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_SHAPE_CONTEXT::s7,True,"{""on_disk"": ""24CA8F4378D168B1E35AFC7FD6E4C4107FA47E5DEBD27746A096649940CA3763"", ""indexed"": ""24CA8F4378D168B1E35AFC7FD6E4C4107FA47E5DEBD27746A096649940CA3763""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_SHAPE_CONTEXT::s17,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_SHAPE_CONTEXT::s17,True,"{""on_disk"": ""404165E6C4DF1081CD73680C8E905ED6A0EE159FA4C3B2040BE26D1E2DFC4C1F"", ""indexed"": ""404165E6C4DF1081CD73680C8E905ED6A0EE159FA4C3B2040BE26D1E2DFC4C1F""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_SHAPE_CONTEXT::s37,True,"{""config"": ""NO_SHAPE_CONTEXT"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_SHAPE_CONTEXT::s37,True,"{""on_disk"": ""32F54E64914EC6D32BAB58232703126A02255D0376A498715688C9D041B339D1"", ""indexed"": ""32F54E64914EC6D32BAB58232703126A02255D0376A498715688C9D041B339D1""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_TCN::s7,True,"{""config"": ""NO_TCN"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_TCN::s7,True,"{""on_disk"": ""B9C3D563A30B8A7EF9779A461D789EF82D77A3176E49D0635CA94D92B2ECCF4B"", ""indexed"": ""B9C3D563A30B8A7EF9779A461D789EF82D77A3176E49D0635CA94D92B2ECCF4B""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_TCN::s17,True,"{""config"": ""NO_TCN"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_TCN::s17,True,"{""on_disk"": ""623C92E15E82EE7EC4EDE053B9CAA3819839EACD93077A7A7B2B094611C19617"", ""indexed"": ""623C92E15E82EE7EC4EDE053B9CAA3819839EACD93077A7A7B2B094611C19617""}"
artifacts,identity::GANSU_DA::TimeMixer::NO_TCN::s37,True,"{""config"": ""NO_TCN"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::NO_TCN::s37,True,"{""on_disk"": ""A927712FF8A1B4FB72012D334A2F40FC7C964117BA5B3D14213F826937DF360A"", ""indexed"": ""A927712FF8A1B4FB72012D334A2F40FC7C964117BA5B3D14213F826937DF360A""}"
artifacts,identity::GANSU_DA::TimeMixer::TIED_AMPLITUDE::s7,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::TIED_AMPLITUDE::s7,True,"{""on_disk"": ""1B499EEFCBDB95B894BF02591A996F39924DA7C2C1D98413EFAFC271CC7840AA"", ""indexed"": ""1B499EEFCBDB95B894BF02591A996F39924DA7C2C1D98413EFAFC271CC7840AA""}"
artifacts,identity::GANSU_DA::TimeMixer::TIED_AMPLITUDE::s17,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 17, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::TIED_AMPLITUDE::s17,True,"{""on_disk"": ""6E85380B38060EA9A60ABD47DD31104BE1A557A7EF50F60A2058495958E54019"", ""indexed"": ""6E85380B38060EA9A60ABD47DD31104BE1A557A7EF50F60A2058495958E54019""}"
artifacts,identity::GANSU_DA::TimeMixer::TIED_AMPLITUDE::s37,True,"{""config"": ""TIED_AMPLITUDE"", ""seed"": 37, ""partition"": ""DEV_EVAL""}"
artifacts,hash::GANSU_DA::TimeMixer::TIED_AMPLITUDE::s37,True,"{""on_disk"": ""3C9FB4725B74C24C66DAED02B1578F3EF836BE902DBFBBAFB6DF00DCCAACE3C9"", ""indexed"": ""3C9FB4725B74C24C66DAED02B1578F3EF836BE902DBFBBAFB6DF00DCCAACE3C9""}"
artifacts,identity::GANSU_DA::iTransformer::FULL::s7,True,"{""config"": ""FULL"", ""seed"": 7, ""partition"": ""DEV_EVAL""}"
