market,host,method,seed,Overall_MAE,Tail_MAE,Normal_MAE,MSE,RMSE,relative_gain_vs_host_pct,Normal_harm_vs_host_pct,Tail_harm_vs_host_pct,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,backbone_parameter_count,fidelity,source,n_seeds
LAGO_DE,PatchTST,Host,-1.0,4.7565226554870605,7.4154953956604,4.3458251953125,40.92784118652344,6.39748709936358,0.0,0.0,0.0,6582296.0,1945.278693299988,5.513055600022199,0.0505784917433229,,FROZEN_HOST,frozen Host cache,1
LAGO_DE,PatchTST,MatchedDirectResidual,17.0,5.605402990637264,7.750545200091474,5.276381436548927,58.07794734544717,7.620888881583773,-17.846658086889317,21.412647247314453,4.518234729766846,15000.0,0.6270859999931417,7.890001870691776e-05,7.238533826322731e-07,,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,3
LAGO_DE,PatchTST,PIR_paper_protocol,2021.0,5.0408616065979,8.316516876220703,4.534913063049316,45.86783981323242,6.772579996813063,-5.977874420146622,4.351019859313965,12.15052604675293,215050.0,98.6641535999952,0.0362906000227667,0.0003329412846125,24552.0,PAPER_FAITHFUL_EXACT_ACCEPTED,official PIR @ fc372bb :: models/PIR.py + exp/exp_long_term_forecasting_pir.py,1
LAGO_DE,PatchTST,S1_DailyPatch_GRU32,17.0,4.245660116226809,6.581716850214815,3.8896108638617375,34.225960616837355,5.850295771739866,10.740252412567148,-10.497760772705078,-11.243730545043944,14872.0,17.599896900064778,0.0005936999805271,5.446788812175803e-06,,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),3
LAGO_DE,PatchTST,delta_Adapter_AdaY,17.0,4.741259964733578,7.468308133467408,4.3200477586184665,40.69385935560567,6.379173877204294,0.3208791770575487,-0.5931496620178223,0.7121920585632324,289816.0,0.1613800000050105,0.0009789000032469,8.98073397474278e-06,,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,3
LAGO_DE,TimeMixer,Host,-1.0,4.70658016204834,7.1415534019470215,4.330480575561523,40.77216339111328,6.385308402192746,0.0,0.0,0.0,178463.0,17.76762990000134,0.7446431999997003,0.0068315889908229,,FROZEN_HOST,frozen Host cache,1
LAGO_DE,TimeMixer,MatchedDirectResidual,17.0,5.839970989741395,7.848627491000121,5.539476433176517,62.44655470544556,7.9023132502733375,-24.08098425332661,27.91827964782715,9.90084457397461,15000.0,0.5878004999831319,0.0002141000004485,1.9642201876011463e-06,,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,3
LAGO_DE,TimeMixer,PIR_paper_protocol,2021.0,5.270547389984131,8.488783836364746,4.773467063903809,48.5505485534668,6.967822368105174,-11.982526771420124,10.229503631591797,18.86466789245605,368897.0,122.70607879996533,0.0564178999629803,0.0005175954125044,178399.0,PAPER_FAITHFUL_EXACT_ACCEPTED,official PIR @ fc372bb :: models/PIR.py + exp/exp_long_term_forecasting_pir.py,1
LAGO_DE,TimeMixer,S1_DailyPatch_GRU32,17.0,4.3082407367489,6.558008405311133,3.960747937103365,35.0767234561306,5.922560548962805,8.463457788554477,-8.537912368774414,-8.171123504638672,14872.0,18.23291550000431,0.0010581000242382,9.707339671910355e-06,,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),3
LAGO_DE,TimeMixer,delta_Adapter_AdaY,17.0,4.718180374936798,7.187491059643965,4.340284300340345,40.89979719496484,6.395294926347403,-0.2464679765150323,0.2263903617858886,0.6432414054870605,1144.0,0.0974996999721042,0.000161699950695,1.4834857861930076e-06,,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,3
LAGO_PJM,PatchTST,Host,-1.0,3.019613027572632,10.558648109436035,2.7817885875701904,19.00141906738281,4.359061718693923,0.0,0.0,0.0,6582296.0,1000.8605346000112,4.4601663000066765,0.0409189568807952,,FROZEN_HOST,frozen Host cache,1
LAGO_PJM,PatchTST,MatchedDirectResidual,17.0,3.654733743529575,10.319660676197302,3.444585724936538,25.04632556628088,5.004630412556044,-21.033182403094067,23.82630157470703,-2.263426780700684,15000.0,0.6220174000482075,7.350003579631448e-05,6.743122550120595e-07,,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,3
LAGO_PJM,PatchTST,PIR_paper_protocol,2021.0,3.276143312454224,11.78341007232666,3.007774829864502,21.404783248901367,4.626530368310725,-8.495468874295065,8.123779296875,11.59961223602295,215050.0,108.36886109999614,0.0304432000266388,0.0002792954130884,24552.0,PAPER_FAITHFUL_EXACT_ACCEPTED,official PIR @ fc372bb :: models/PIR.py + exp/exp_long_term_forecasting_pir.py,1
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,17.0,3.045757513709513,10.661645669876595,2.805508675975536,18.867664704885065,4.343692519606454,-0.8658224049953201,0.8526921272277832,0.975477695465088,14104.0,18.27522119996138,0.0005925999721512,5.436696992213026e-06,,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),3
LAGO_PJM,PatchTST,delta_Adapter_AdaY,17.0,2.9756399224313945,11.146385662298044,2.71788769088986,18.488851780572823,4.299866484040269,1.4562496829796052,-2.2971153259277344,5.56640625,289816.0,0.3329229999799281,0.0011209000367671,1.0283486575845184e-05,,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,3
LAGO_PJM,TimeMixer,Host,-1.0,3.2211556434631348,9.623579978942873,3.019186496734619,20.96799087524414,4.579081881255689,0.0,0.0,0.0,178463.0,8.755758200015407,0.4026684999989811,0.003694206422009,,FROZEN_HOST,frozen Host cache,1
LAGO_PJM,TimeMixer,MatchedDirectResidual,17.0,3.290197944782736,10.876970214350017,3.0508675892758816,21.429529026401053,4.629203930094358,-2.143401591280216,1.0493278503417969,13.024163246154783,15000.0,0.6799452000414021,6.559997564181685e-05,6.01834638915751e-07,,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,3
LAGO_PJM,TimeMixer,PIR_paper_protocol,2021.0,3.224943161010742,12.521597862243652,2.931673526763916,20.820709228515625,4.562971534922788,-0.1175825687061609,-2.898561954498291,30.113719940185547,368897.0,169.64891910000006,0.0626977999927476,0.0005752091742453,178399.0,PAPER_FAITHFUL_EXACT_ACCEPTED,official PIR @ fc372bb :: models/PIR.py + exp/exp_long_term_forecasting_pir.py,1
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,17.0,3.061235350998428,8.174372969414806,2.899937634329142,18.006846171814047,4.24344743950176,4.9646869063667145,-3.94970178604126,-15.05892276763916,14104.0,17.68199489999097,0.0005380999646149,4.936696923073005e-06,,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),3
LAGO_PJM,TimeMixer,delta_Adapter_AdaY,17.0,3.2403155928037988,9.619292659824978,3.0398561302353846,21.20189977765539,4.604552071337166,-0.5948160058501466,0.6846070289611816,-0.0445544719696044,1144.0,0.068953399953898,0.0001287999912165,1.1816512955643167e-06,,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,3
