dataset,tier,backbone,neg_pct_test,currency,mae_base,mae_bech,mae_gain,tail_base,tail_bech,tail_gain,rmae_base,rmae_bech,neg_n,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_norm_base,mae_norm_bech,spike_n,fire,lam_neg,lam_pos,n_fired,harm_rate,gain_on_fired,worst_harm,dm_p,dm_stat,seconds
NEM_NSW1,L2,GBDT,12.45417048579285,AUD,69.64677784033334,68.93278982946994,1.0251558406624859,1581.8724576360726,1582.0999728448871,-0.01438265188298186,0.8278840777902658,0.8193969758128842,1087,0.9724011039558418,0.8969641214351426,65.54987628533033,58.85123050683401,49.06724722718726,49.200747368751976,61,0.05682859761686526,0.35,0.0,496,0.25806451612903225,12.56388580406386,30.91952467875764,5.959832627411288e-11,6.440352125187583,5.1
LAGO_DE,L1,Linear,1.8571702086923225,EUR,6.084079015869973,6.084079015869973,0.0,28.154457147981976,28.154457147981976,0.0,0.523217425922416,0.523217425922416,194,0.211340206185567,0.211340206185567,19.97145706060459,19.97145706060459,5.504336122917446,5.504336122917446,198,0.0,0.0,0.0,0,,,,,,9.5
LAGO_DE,L1,MLP,1.8571702086923225,EUR,7.394175645646863,7.279880987918392,1.5457390141355252,35.9271307076767,33.74672201070091,6.0689753231807595,0.635882857215057,0.6260537678068842,194,0.0979381443298969,0.0979381443298969,27.39099894223437,24.26441311742459,6.793729408936167,6.7353084476651786,198,0.01225349416044419,1.0,0.0,128,0.3125,9.327515583059483,46.34257699936645,0.01706028406632254,2.118643954309821,104.7
LAGO_DE,L1,LSTM,1.8571702086923225,EUR,5.821288321188008,5.821288321188008,0.0,28.10121105165055,28.10121105165055,0.0,0.5006180036484434,0.5006180036484434,194,0.21649484536082475,0.21649484536082475,20.185875931475504,20.185875931475504,5.210523400045331,5.210523400045331,198,0.0,0.0,0.0,0,,,,,,787.3
LAGO_DE,L1,Transformer,1.8571702086923225,EUR,5.754474264530089,5.754474264530089,0.0,28.42018300997816,28.42018300997816,0.0,0.49487214159622417,0.49487214159622417,194,0.28865979381443296,0.28865979381443296,20.250747726882242,20.250747726882242,5.106810466725122,5.106810466725122,198,0.0,0.0,0.0,0,,,,,,76.2
LAGO_DE,L1,GBDT,1.8571702086923225,EUR,6.664246267347285,6.55909717806704,1.577809178442923,35.76571648679787,33.92622639863158,5.143165771180065,0.5731105346625622,0.564067944044033,194,0.23711340206185566,0.23711340206185566,26.562905878079345,24.966362610240516,6.0213274427909935,5.942885231466076,198,0.014168102623013594,1.0,0.0,148,0.2702702702702703,7.421536396090912,27.21059058424742,0.00721794161668865,2.4462301106997915,16.6
LAGO_BE,L2,Linear,0.019146084625694046,EUR,6.894393465041269,6.894393465041269,0.0,59.20406451056275,59.20406451056275,0.0,0.7833160991120942,0.7833160991120942,2,1.0,1.0,17.213790462773325,17.213790462773325,6.004608003265843,6.004608003265843,167,0.0,0.0,0.0,0,,,,,,1.4
LAGO_BE,L2,MLP,0.019146084625694046,EUR,7.766098967811977,7.766098967811977,0.0,63.572873640983765,63.572873640983765,0.0,0.8823561317802632,0.8823561317802632,2,0.5,0.5,9.505096726338005,9.505096726338005,6.78271001052708,6.78271001052708,167,0.0,0.0,0.0,0,,,,,,132.0
LAGO_BE,L2,LSTM,0.019146084625694046,EUR,6.210164117981094,6.210164117981094,0.0,60.16388052541894,60.16388052541894,0.0,0.7055764305314031,0.7055764305314031,2,1.0,1.0,10.484023971557617,10.484023971557617,5.285119718947136,5.285119718947136,167,0.0,0.0,0.0,0,,,,,,551.4
LAGO_BE,L2,Transformer,0.019146084625694046,EUR,6.945254825940424,6.945254825940424,0.0,58.738699773682924,58.738699773682924,0.0,0.7890947833454607,0.7890947833454607,2,1.0,1.0,13.667907638549805,13.667907638549805,6.068382855302411,6.068382855302411,167,0.0,0.0,0.0,0,,,,,,37.6
