cell,market,host,seed,n_train_rows,n_val_rows,selected_step,selected_check,stopped_at_step,val_mae_ema,val_mae_raw_at_selected_step,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,train_correction_ratio,diag_reconstruction_mae,level_mae,mass_mae,shape_w1,frozen_val_mae_ema,frozen_selected_epoch,improvement_vs_frozen_pct,checkpoint_parameter_hash
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,17,916,166,500,10,900,74.9755859375,75.44805145263672,75.07028198242188,0.126143185320722,0.1197773888707161,0.12080616503953934,97.67084503173828,52.251625061035156,358.43096923828125,3.512575626373291,75.0718002319336,0,0.12816303077366017,0334939BCEDD09BC9386383F2DB674E3623321A45901A195164AB13B4EC0FECD
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,37,916,166,450,9,850,75.02806091308594,75.16956329345703,75.07028198242188,0.05624205507290328,0.1192198172211647,0.10520564764738083,98.3365478515625,52.31066131591797,374.977294921875,3.531665325164795,75.07172393798828,0,0.058161745344240186,B58D4CF7F886D9636EE7BA5DC5A91D13ED7E6BD1D3D517C754E581E48EF003B7
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,7,219,41,300,6,800,103.449951171875,104.43663787841797,103.59215545654297,0.13727321730227307,0.04529210180044174,0.06390010565519333,72.01438903808594,41.70647048950195,296.99041748046875,3.4313178062438965,103.46220397949219,41,0.011842786202018465,5A28565D6B9C17B48E1C46A888474F326C23ECE33447F9F25D9907D2882C05A1
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,17,219,41,250,5,800,103.49333953857422,104.183349609375,103.59215545654297,0.09538938304088421,0.03252938762307167,0.04768189787864685,72.40093231201172,41.83350372314453,317.9873046875,3.49434494972229,103.47339630126953,36,-0.019273782457687447,6FCF247E001C16A1638C828AE3761F1923356066CE8B2F35AF925A78E0565BA1
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,37,219,41,250,5,800,103.47103118896484,104.62818908691406,103.59215545654297,0.11692416963844021,0.030545691028237343,0.04599245637655258,72.56974029541016,41.83762741088867,317.26971435546875,3.5090255737304688,103.46133422851562,39,-0.009372545329640752,CC713057D53031C59DA81408B7D398CF49CCE1F0CA095E604DFD14742C0A35F7
SHAANXI_DA__PatchTST,SHAANXI_DA,PatchTST,7,219,41,0,0,800,111.96552276611328,111.96552276611328,111.96537780761719,-0.00012946725044131298,1.5235235878208186e-05,3.0359586162376218e-05,65.39191436767578,35.636539459228516,354.60638427734375,3.8278350830078125,111.96558380126953,0,5.451242620976532e-05,42E86558B16423424E184356DEB290592EA81C7F0D0A270DB10C68930DED94C5
SHAANXI_DA__PatchTST,SHAANXI_DA,PatchTST,17,219,41,700,14,1100,108.53507232666016,110.35958099365234,111.96537780761719,3.0637198285090426,0.18921668827533722,0.2980528473854065,58.56632995605469,35.72688674926758,177.8109588623047,3.07358455657959,111.96533203125,0,3.063680196681276,A8803D7CBE9D464A827C3E10C5A843A8EFE9D5D0B9E7374B9B123117DF08EE31
SHAANXI_DA__PatchTST,SHAANXI_DA,PatchTST,37,219,41,1150,23,1550,107.56716918945312,107.75154876708984,111.96537780761719,3.928186287837315,0.22890880703926086,0.358477920293808,56.989524841308594,35.883201599121094,158.1131591796875,2.5656540393829346,111.96565246582031,0,3.928421957537299,E2EECFE79D6696455DCECCE32DD83F8A138E802CF167A93DB75CB05633E91FC2
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,7,72,16,600,12,1000,68.36663055419922,72.93882751464844,71.31417083740234,4.133176125574779,0.33571016788482666,0.32991543412208557,63.55231475830078,46.63079833984375,131.93711853027344,2.163923978805542,71.08599853515625,49,3.8254621683511165,6248B20C41920FAA7DF854B25A0C76E1F3EBBBF55D0DD668C425AB61C45C2933
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,17,72,16,450,9,850,69.3753662109375,71.67601013183594,71.31417083740234,2.7186807386225595,0.24584171175956726,0.21430909633636475,67.78582000732422,47.128211975097656,160.60452270507812,2.2787110805511475,71.0926513671875,49,2.415559306376644,EA873ED973B1DF584D78B9BD2251F33B61BB58DB9082FD536FCBC3A8D960FF2B
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,37,72,16,450,9,850,69.63700866699219,73.37718200683594,71.31417083740234,2.3517936908137345,0.2158263623714447,0.22723935544490814,68.4857177734375,47.29219055175781,181.67515563964844,2.4407405853271484,71.11788940429688,49,2.0822900534717137,5B34AC8F8BE5CE4C4DEB9C2211C938FC7AFB1627CF07A8D32982BA5AC08E0F80
QINGHAI_DA__TimeMixer,QINGHAI_DA,TimeMixer,7,67,14,950,19,1350,152.89239501953125,152.67820739746094,157.57135009765625,2.9694199327639037,0.33746662735939026,0.5065404772758484,69.07608795166016,43.577945709228516,186.75120544433594,2.1575775146484375,157.57102966308594,0,2.96922261253126,B8FA86F348F84AEC68FEC1453666AF6F9B65B2B0F5A59ACF392ED8D476A281E1
QINGHAI_DA__TimeMixer,QINGHAI_DA,TimeMixer,17,67,14,1450,29,1850,147.51681518554688,147.91595458984375,157.57135009765625,6.380941018705487,0.33701851963996887,0.6287228465080261,59.24258041381836,37.40976333618164,162.58535766601562,1.5300120115280151,157.5713348388672,0,6.380931952884761,C90F37B3D2871EA3C07E5A2DB401C054C88A8961E3906BC9EBA75DC6534A6D9A
QINGHAI_DA__TimeMixer,QINGHAI_DA,TimeMixer,37,67,14,750,15,1150,150.66725158691406,153.29859924316406,157.57135009765625,4.38156968666151,0.2849506735801697,0.4353945553302765,71.71947479248047,46.087860107421875,198.50733947753906,2.227839469909668,157.571044921875,0,4.381384497630192,D2ADF54CE5134D43AE695ECB4AB52EA1FEFF7734D56292A15386F545B571E3DD
