group,variant,market,host,cell,seed,val_mae_ema,val_mae_raw,val_host_mae,val_gain_vs_host_pct,val_correction_ratio,val_mean_abs_correction,train_mae_ema,train_host_mae,train_correction_ratio,diag_reconstruction_mae,diag_level,diag_B,diag_shape,selected_step,selected_check,stopped_at_step,check_count,selected_after_switch,n_train_rows,n_val_rows,parameter_count,switch_step,test_target_read_count,code_hash,common_code_hash,finite
critical,GEOM_FLAT,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,17,134.3455963135,133.6259155273,143.2564239502,6.2201941044,0.2498852611,35.797668457,34.7969779968,59.920375824,0.6430331469,1.6949819326,0.5155607462,3.0535178185,2.5139455795,2000,40,,41,True,67,14,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_FLAT,QINGHAI_DA,PatchTST,QINGHAI_DA__PatchTST,37,135.4978179932,135.4551391602,143.2564239502,5.4158869411,0.2404649407,34.4481468201,45.8033256531,59.920375824,0.4868567288,2.2311077118,0.7172220349,1.8650995493,2.6112492085,900,18,1300,27,True,67,14,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,7,76.4864273071,78.1724319458,76.6070480347,0.1574538252,0.1221680343,9.3589324951,80.3960418701,84.2944564819,0.1462436467,2.4922280312,0.794306457,0.6876164079,2.839009285,500,10,900,19,True,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,17,76.4724655151,78.2263946533,76.6070480347,0.1756790308,0.1303285807,9.984087944,80.9161682129,84.2944564819,0.1358877718,2.5083515644,0.7963685393,0.7032491565,2.9014573097,450,9,850,18,True,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,GANSU_DA,TimeMixer,GANSU_DA__TimeMixer,37,76.6070480347,76.6070480347,76.6070480347,0.0,1.38e-08,1.057e-06,84.2944564819,84.2944564819,1.51e-08,2.6130759716,0.7999328375,1.1181468964,3.3543298244,0,0,800,17,False,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,GANSU_DA,iTransformer,GANSU_DA__iTransformer,7,78.2893600464,78.3069839478,79.1737136841,1.1169788514,0.1854039431,14.6791191101,69.3604888916,78.244972229,0.3062317669,2.3656954765,0.7174931765,1.9094430208,3.3186383247,1500,30,1900,39,True,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,GANSU_DA,iTransformer,GANSU_DA__iTransformer,17,79.1737136841,79.1737136841,79.1737136841,0.0,1.56e-08,1.2381e-06,78.244972229,78.244972229,1.61e-08,2.6687209606,0.746340692,1.203294754,3.5410251617,0,0,800,17,False,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,GANSU_DA,iTransformer,GANSU_DA__iTransformer,37,79.1737136841,79.1737136841,79.1737136841,0.0,1.09e-08,8.608e-07,78.244972229,78.244972229,1.25e-08,2.6687209606,0.746340692,1.203294754,3.541021347,0,0,800,17,False,224,42,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,7,76.6011962891,76.9748458862,78.9922332764,3.026926684,0.2782528698,21.9798164368,86.9464416504,94.5073852539,0.2792518139,2.0550477505,0.9448990822,1.0382601023,3.3429327011,1950,39,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,17,78.3052978516,78.8463897705,78.9922332764,0.8696240077,0.2534293234,20.0189476013,88.9484634399,94.5073852539,0.2401755005,2.1102397442,0.9518319368,0.7913412452,3.4018483162,900,18,1300,27,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHANDONG_DA,TimeMixer,SHANDONG_DA__TimeMixer,37,77.654510498,77.3624801636,78.9922332764,1.6934864642,0.2821000516,22.2837123871,86.8107070923,94.5073852539,0.2811790705,2.0473308563,0.945759356,1.0644615889,3.3244876862,1950,39,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,7,72.8411254883,72.4363174438,75.0702819824,2.9694260302,0.1950271428,14.6407423019,92.9880065918,100.3296585083,0.2738595903,2.1182858944,0.9118451476,1.0550562143,3.6948752403,2000,40,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,17,73.7043609619,75.2900924683,75.0702819824,1.8195229649,0.2185332328,16.4053516388,92.7635803223,100.3296585083,0.2770741284,2.1160826683,0.9111425877,1.1052322388,3.6339783669,2000,40,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,37,72.7620925903,72.5790252686,75.0702819824,3.0747045717,0.2146663219,16.1150608063,92.9886016846,100.3296585083,0.2778761387,2.1247441769,0.9100643992,1.267408371,3.7052874565,2000,40,,41,True,916,166,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
critical,GEOM_COUPLED,SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,7,103.523147583,104.9209823608,103.5921554565,0.0666149606,0.0202117395,2.0937776566,73.1389694214,73.7011642456,0.0288552195,2.5331296921,0.7727762461,0.9598961473,3.7191140652,200,4,800,17,False,219,41,10498,400,0,AC7D96F892277B5F664D27A7B3AC85331B2AAF22ACAA30B45177EBEF5EDD9E81,B7289A0A82C961869E78D3EFAB3B503674448EB04F9379A58076C61FE2D9EADA,True
