group,variant,cell,seed,weights,n_val_rows,mean_abs_r_true,mean_abs_b_true,mean_abs_B_true,mean_abs_correction,correction_ratio_from_npz,mean_abs_b_hat,mean_abs_B_hat,bias_b_hat,corr_b_hat_true,corr_B_hat_true,level_share_of_l1,shape_entropy_plus,shape_entropy_minus,shape_w1_plus,shape_w1_minus,overlap_gap_median,overlap_gap_max
critical,GEOM_FLAT,SHAANXI_DA__iTransformer,37,selected_ema,41,112.5065155029,52.8861274719,715.4447631836,9.6231603622,0.0855342522,5.3537130356,264.1675415039,-29.8677215576,0.1287734534,0.1648430239,0.047585804,3.0987161837,3.0720077024,4.5048751831,4.7229089737,443.7037963867,520.9689941406
critical,GEOM_FLAT,SHAANXI_DA__LSTM,7,selected_ema,41,109.4563751221,53.3038711548,673.830078125,15.8433446884,0.1447457522,10.0282430649,433.9920349121,-25.5999355316,0.0870359228,0.1014772176,0.0916186273,3.0573232121,3.0625103689,4.8948373795,4.2274889946,753.0426025391,888.9127807617
critical,GEOM_FLAT,SHAANXI_DA__LSTM,17,selected_ema,41,109.4563751221,53.3038711548,673.830078125,2.3273365498,0.0212626867,2.3273365498,40.2242050171,-17.8990287781,0.1785951827,0.1452542896,0.0212626867,3.160995066,3.1541518616,4.9488592148,4.1426353455,80.7233123779,83.3405685425
critical,GEOM_FLAT,SHAANXI_DA__LSTM,37,selected_ema,41,109.4563751221,53.3038711548,673.830078125,2.4201104641,0.0221102741,2.4201104641,40.0403671265,-17.9918022156,-0.0257748108,0.0266113306,0.0221102741,3.1640639241,3.1597447921,4.9277524948,4.1796526909,81.0822143555,84.2769927979
critical,GEOM_FLAT,QINGHAI_DA__PatchTST,7,selected_ema,14,143.2564239502,84.3695220947,706.6427612305,25.1495876312,0.1755564362,3.6159901619,517.2955322266,-54.3492965698,-0.3331119539,0.2986324522,0.0252413824,2.9256376747,2.934460468,4.7918543816,5.447883606,574.6761779785,727.2543945312
critical,GEOM_FLAT,QINGHAI_DA__PatchTST,17,selected_ema,14,143.2564239502,84.3695220947,706.6427612305,35.797668457,0.2498852611,13.7889509201,803.9619750977,-50.949634552,-0.0540766959,-0.1383534275,0.096253626,3.0224862521,2.9065580079,4.8058333397,5.8947172165,1073.9340820312,1817.1027832031
critical,GEOM_FLAT,QINGHAI_DA__PatchTST,37,selected_ema,14,143.2564239502,84.3695220947,706.6427612305,34.4481430054,0.2404649109,4.3546032906,690.0869140625,-52.7968864441,-0.6046012256,0.3225137105,0.0303972643,2.8187228398,2.8308757885,5.5001530647,5.7367596626,692.1301879883,1167.6793212891
critical,GEOM_COUPLED,GANSU_DA__TimeMixer,7,selected_ema,42,76.6070327759,60.742401123,190.3756866455,9.3589324951,0.1221680567,4.2560772896,216.3795166016,16.4877338409,0.0761366138,0.050416036,0.0555572696,3.0908706944,3.0792916462,5.0711746216,4.0593142509,360.6038208008,511.7827758789
critical,GEOM_COUPLED,GANSU_DA__TimeMixer,17,selected_ema,42,76.6070327759,60.742401123,190.3756866455,9.9840860367,0.1303285807,4.6174287796,216.2831115723,16.8490867615,0.0176016391,0.0261393201,0.0602742061,3.0680757154,3.0562477612,5.053399086,4.0974564552,325.7094726562,490.6191101074
critical,GEOM_COUPLED,GANSU_DA__TimeMixer,37,selected_ema,42,76.6070327759,60.742401123,190.3756866455,1.057e-06,1.38e-08,0.0,3.0170161724,12.2316570282,,,0.0,3.1780538224,3.178053822,5.1029777527,4.1935257912,6.0340094566,6.0340209007
critical,GEOM_COUPLED,GANSU_DA__iTransformer,7,selected_ema,42,79.1737136841,65.0399703979,169.60496521,14.6791181564,0.1854039431,7.7365207672,176.6455383301,21.65417099,0.2457764974,0.0887183317,0.0977157727,2.9285894646,2.775234495,5.5116066933,5.6329259872,156.9958190918,760.5926513672
critical,GEOM_COUPLED,GANSU_DA__iTransformer,17,selected_ema,42,79.1737136841,65.0399703979,169.60496521,1.2381e-06,1.56e-08,0.0,2.5147707462,16.1037864685,,,0.0,3.1780538295,3.1780538323,5.7196230888,4.3293476105,5.0295131207,5.02952528
critical,GEOM_COUPLED,GANSU_DA__iTransformer,37,selected_ema,42,79.1737136841,65.0399703979,169.60496521,8.608e-07,1.09e-08,0.0,2.5147707462,16.1037864685,,,0.0,3.1780538112,3.1780538369,5.7196426392,4.3293509483,5.0295212269,5.0295333862
critical,GEOM_COUPLED,SHANDONG_DA__TimeMixer,7,selected_ema,166,78.9922332764,39.6457901001,472.1573181152,21.9798183441,0.2782528996,2.7555997372,658.5288696289,19.1219081879,0.0780542412,0.1737252973,0.0348844416,2.9276878503,3.0840232569,4.9306235313,3.8382885456,723.3005065918,1740.8472900391
