dataset,backbone,method,n,mae,rmse,rmae,neg_n,mae_on_neg,neg_miss_rate,spike_thr,spike_n,mae_on_spike,spike_miss_rate,normal_n,mae_on_normal,touch_rate,status,seed,neg_thr,spike_thr_source,n_full,n_valid,n_S1,n_S2,n_S3,n_S4,s1_range,s2_range,s3_range,s4_range,duration_s
LAGO_DE,MLP,SpikeRegularization,10446,5.52539809968851,8.341169161578609,0.47517209480262557,194,22.423333687052253,0.44329896907216493,77.74559999999998,198,20.450624298893143,0.5555555555555556,10054,4.905406624515337,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
LAGO_DE,MLP,CRC,10446,5.166306677713948,8.36844606927677,0.44429102159725314,194,26.017808371066515,0.4381443298969072,77.74559999999998,198,21.483468870993953,0.6414141414141414,10054,4.442615664905131,0.9037909247558874,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
LAGO_DE,MLP,DeltaAdapter,10446,7.198753491036435,10.787048274225516,0.6190769813484267,194,27.227626796357466,0.10309278350515463,77.74559999999998,198,18.512321344999226,0.47474747474747475,10054,6.589474810280823,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
LAGO_DE,MLP,HCH,10446,7.287691419084465,10.61033153691562,0.6267254477241563,194,24.358085101749605,0.09278350515463918,77.74559999999998,198,18.290654152471895,0.4696969696969697,10054,6.741615927175995,0.01225349416044419,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",50.9
LAGO_DE,LSTM,Identity,10446,5.819054639355461,8.572849652090943,0.5004259119192423,194,20.190840834136477,0.23195876288659795,77.74559999999998,198,22.795331979616726,0.6565656565656566,10054,5.207414552309584,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,LSTM,QuantileCorrection,10446,5.180139573684044,8.348286363323185,0.4454806202536229,194,25.579145483573537,0.5979381443298969,77.74559999999998,198,24.68552397371543,0.702020202020202,10054,4.402392084353949,0.9968408960367605,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,LSTM,VahediStyle,10446,5.859791244817363,8.687776586844022,0.5039291704724262,194,21.07600464070958,0.22164948453608246,77.74559999999998,198,22.795353355406217,0.6565656565656566,10054,5.232659088789943,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,LSTM,SpikeRegularization,10446,5.203104750323198,8.284881150817311,0.447455574979827,194,24.69580613432082,0.5,77.74559999999998,198,24.265210064908683,0.7171717171717171,10054,4.451574919332203,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,LSTM,CRC,10446,5.079680865131889,8.432642920915765,0.4368413920708455,194,26.810630346254097,0.6185567010309279,77.74559999999998,198,25.351376337359003,0.7575757575757576,10054,4.261140990172801,0.9059927244878422,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,LSTM,DeltaAdapter,10446,5.74377135769755,8.50673341634079,0.49395171512769853,194,20.32718260537835,0.23195876288659795,77.74559999999998,198,22.659411570091255,0.6565656565656566,10054,5.129241962023786,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,LSTM,HCH,10446,5.819054639355461,8.572849652090943,0.5004259119192423,194,20.190840834136477,0.23195876288659795,77.74559999999998,198,22.795331979616726,0.6565656565656566,10054,5.207414552309584,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",355.3
LAGO_DE,Transformer,Identity,10446,5.8902936736151945,8.716900925328243,0.506552312321563,194,20.474445504908708,0.30412371134020616,77.74559999999998,198,24.504371061999393,0.7626262626262627,10054,5.242301553248076,0.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",49.9
LAGO_DE,Transformer,QuantileCorrection,10446,5.15528308185732,8.301319816777074,0.44334301657735303,194,23.883231832715996,0.5,77.74559999999998,198,25.099255604599467,0.7878787878787878,10054,4.401142578856572,0.9949262875741911,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",49.9
LAGO_DE,Transformer,VahediStyle,10446,5.9293967316775715,8.855383137616808,0.5099150893880219,194,21.34613680455248,0.26804123711340205,77.74559999999998,198,24.504394774015257,0.7626262626262627,10054,5.266108768029213,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",49.9
LAGO_DE,Transformer,SpikeRegularization,10446,5.347419957647917,8.424412869166227,0.4598663656847045,194,22.720949501281897,0.41237113402061853,77.74559999999998,198,25.968055005357918,0.797979797979798,10054,4.606088102574157,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",49.9
LAGO_DE,Transformer,CRC,10446,4.814904688324823,8.030184571234885,0.41407122269710633,194,25.0248661373261,0.5257731958762887,77.74559999999998,198,23.892568570130624,0.7373737373737373,10054,4.049228343615872,0.9118322802986789,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",49.9
LAGO_DE,Transformer,DeltaAdapter,10446,5.829565326920545,8.673480443667657,0.5013298079531586,194,20.593041374726507,0.31443298969072164,77.74559999999998,198,24.615800068534323,0.7626262626262627,10054,5.17472259446442,1.0,ok,0,0.0,S1,52416,52224,26112,10444,5222,10446,"[192, 26303]","[26304, 36747]","[36748, 41969]","[41970, 52415]",49.9
