market,host,method,seed,alpha,flags,Overall_MAE,Host_MAE,gain_pct,correction_ratio,checkpoint_role,selected_checkpoint,MSE,RMSE,Host_Overall_MAE,relative_gain_vs_Host_pct,Tail_MAE,Upper_tail_MAE,Lower_tail_MAE,Normal_region_MAE,Host_Normal_region_MAE,Normal_harm_vs_Host,Tail_MAE_Host,Extreme_day_MAE,Extreme_day_MAE_Host,extreme_day_subset_status,Upper_tail_day_MAE,upper_tail_day_subset_status,Negative_price_MAE,Negative_price_MAE_Host,negative_price_subset_status,n_days,n_hours,n_upper_tail_hours,n_lower_tail_hours,n_normal_hours,n_extreme_days,n_upper_tail_days,n_negative_hours,n_negative_days
NORD_DK1,LSTM,HCH_S1_B2,17,3.223037004470825,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",24.062011920169454,30.84995237551871,22.003082444742752,0.5448659165859653,inner,125,1013.0940335031955,31.82913812064655,30.84995237551871,22.003082444742752,43.86126588334865,,43.86126588334865,20.533998091840086,25.16239061253533,-4.628392520695243,62.76861405205177,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,44.41603356384424,71.29413241800172,OK,289,6936,0,1049,5887,0,0,371,74
NORD_DK1,LSTM,HCH_S1_B2,37,3.207689046859741,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",23.78755754251769,30.84995237551871,22.892725236767163,0.5395385631243542,inner,100,993.651202793554,31.5222334677217,30.84995237551871,22.892725236767163,42.58089057906745,,42.58089057906745,20.438787990056216,25.16239061253533,-4.723602622479113,62.76861405205177,,,NOT_APPLICABLE_N0,,NOT_APPLICABLE_N0,43.609017823519046,71.29413241800172,OK,289,6936,0,1049,5887,0,0,371,74
NEM_SA1,PatchTST,HCH_S1_B2,7,0.873189389705658,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",127.95190831594637,130.4882124215485,1.943703617770833,0.14241145740454247,inner,50,181214.74911175252,425.6932570663441,130.4882124215485,1.943703617770833,282.5880569536369,1289.0571924070032,114.15852816348173,108.77327062714346,111.6231115439336,-2.849840916790143,282.59633348371597,288.2724936712378,291.61807271770726,OK,221.11315802004862,OK,108.24588483139176,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,PatchTST,HCH_S1_B2,17,0.5936685800552368,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",128.19483334434352,130.4882124215485,1.7575373550187832,0.09216850792388555,inner,50,182030.83940771656,426.65072296635867,130.4882124215485,1.7575373550187832,280.71728015779615,1287.5316313999456,112.22998056217116,109.27834601188583,111.6231115439336,-2.3447655320477736,282.59633348371597,288.489691430267,291.61807271770726,OK,221.7347288207901,OK,108.28268408661044,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,PatchTST,HCH_S1_B2,37,0.4865770637989044,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",128.95630169495487,130.4882124215485,1.1739839930098135,0.07689706256376616,inner,50,182703.8325482077,427.4386886422516,130.4882124215485,1.1739839930098135,282.53861014909677,1286.665812980838,114.50099661398907,109.9083657808679,111.6231115439336,-1.7147457630657073,282.59633348371597,290.1916088050124,291.61807271770726,OK,222.4942721404713,OK,109.4073274759413,110.44821734059285,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,TimeMixer,HCH_S1_B2,7,1.013924479484558,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",89.89338750849865,92.55825551183098,2.879125139725329,0.17112263303800837,inner,50,150367.1682116472,387.77205702789774,92.55825551183098,2.879125139725329,250.41536462306976,1263.230708424638,80.92381729301141,69.9847641543064,72.7869646991484,-2.8022005448419947,251.97292898751638,245.06417443058214,247.7355914605865,OK,185.79038621722808,OK,74.16595414665863,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,TimeMixer,HCH_S1_B2,17,1.0744277238845825,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",90.70023343875414,92.55825551183098,2.007408267152726,0.19298356566496624,inner,25,150706.4497111972,388.2092859672437,92.55825551183098,2.007408267152726,249.61496610908242,1266.887864578061,79.37746065100845,70.99094742673599,72.7869646991484,-1.7960172724124135,251.97292898751638,245.88550633201018,247.7355914605865,OK,187.8673975262403,OK,73.92925796022051,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,TimeMixer,HCH_S1_B2,37,0.969671368598938,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",90.47478428264606,92.55825551183098,2.25098368337183,0.16575592970735564,inner,25,150518.85070125503,387.96758975622566,92.55825551183098,2.25098368337183,250.63653571872445,1263.8128366935543,81.08458331069168,70.61083766047848,72.7869646991484,-2.176127038669918,251.97292898751638,246.66044858489067,247.7355914605865,OK,187.1234020628337,OK,74.30998297789749,78.09311997543404,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,iTransformer,HCH_S1_B2,7,0.4090094268321991,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",119.7089414544478,120.34247025071387,0.5264382515551023,0.0679667620965957,inner,50,172001.7996109667,414.7309966845578,120.34247025071387,0.5264382515551023,280.38178598984973,1271.0672054290771,114.59361375716267,99.78160687633637,100.55260452389106,-0.7709976475546938,279.90691209006144,267.2976447360005,267.8794160532013,OK,205.99441405002423,OK,104.27809675010869,105.05491168751647,OK,108,2592,41,245,2306,13,18,973,100
NEM_SA1,iTransformer,HCH_S1_B2,17,0.5064001083374023,"{""b3"": false, ""c"": false, ""checkpoint"": ""inner"", ""objective"": ""mse"", ""ray_norm"": ""l2"", ""scalar"": ""normalized"", ""scale"": ""mean""}",119.04455529929827,120.34247025071387,1.07851779069485,0.08559853413896934,inner,50,171358.15050511083,413.95428552572184,120.34247025071387,1.07851779069485,278.5718507633343,1272.0969767279742,112.30846233659861,99.25929662509432,100.55260452389106,-1.2933078987967406,279.90691209006144,266.6658366602332,267.8794160532013,OK,205.7773921927394,OK,103.05213964682834,105.05491168751647,OK,108,2592,41,245,2306,13,18,973,100
