cell,selected,delta_crps,cand_crps,host_crps,a1_net,a2_net,release_rate,identity_rate,harmful_rate,q,coverage,mae,host_mae,degradation_frac
LAGO_FR:LSTM,C3,-0.014002,0.057736,0.071739,0.00010666475626027324,0.0,0.0,1.0,,0.0,1.0,5.566285,5.566285,0.0
LAGO_FR:PatchTST,C0,-0.014072,0.056666,0.070738,0.0005188333934517339,0.0005188333934517339,0.041189931350114416,0.9588100686498856,0.5555555555555556,0.020920037967087347,0.9153318077803204,6.20142,6.186356,0.002435
LAGO_PJM:Linear,C0,-0.041721,0.074302,0.116022,-0.0006768883955733827,-0.0006768883955733827,0.018306636155606407,0.9816933638443935,0.5,0.05873467834942875,0.9450800915331807,6.089058,6.106035,-0.00278
LAGO_PJM:MLP,C0,-0.013473,0.045294,0.058767,-0.006238342343866576,-0.006238342343866576,0.14187643020594964,0.8581235697940504,0.6774193548387096,0.0,0.9038901601830663,4.400157,4.210177,0.045124
LAGO_PJM:LSTM,C3,-0.012383,0.04728,0.059664,-0.007583318973070098,-5.059247282264682e-05,0.011441647597254004,0.988558352402746,0.6,0.0,0.9908466819221968,3.947255,3.939917,0.001863
LAGO_PJM:PatchTST,C0,-0.012565,0.048094,0.060659,-0.005579647686352514,-0.005579647686352514,0.11899313501144165,0.8810068649885584,0.6346153846153846,0.0,0.9176201372997712,3.924589,3.775302,0.039543
LAGO_NP:Linear,C3,-0.004075,0.034545,0.038619,-0.003348063659968738,-0.001289377130462085,0.06636155606407322,0.9336384439359268,0.8275862068965517,0.0,0.9450800915331807,2.730052,2.63139,0.037494
LAGO_NP:MLP,C0,-0.003818,0.031479,0.035297,-0.002631183544180737,-0.002631183544180737,0.029748283752860413,0.9702517162471396,0.9230769230769231,0.0,0.9725400457665904,3.964716,3.848286,0.030255
LAGO_NP:LSTM,C3,-0.000357,0.031126,0.031482,-0.0027444007603817885,-0.0011254628871162633,0.12356979405034325,0.8764302059496567,0.8148148148148148,0.0,0.8901601830663616,2.823703,2.761872,0.022387
LAGO_NP:PatchTST,C3,-0.004693,0.032878,0.037572,-0.002538266244404014,0.0007331913963023605,0.07322654462242563,0.9267734553775744,0.46875,0.0,0.9405034324942791,2.995638,3.032278,-0.012083
NEM_SA1:Linear,C0,-0.531576,0.289274,0.82085,0.009977724634512316,0.009977724634512316,0.2054794520547945,0.7945205479452054,0.4666666666666667,0.1099501361937911,0.726027397260274,64.244711,65.107757,-0.013256
NEM_SA1:MLP,C0,-0.364504,0.459852,0.824356,0.0667074746890318,0.0667074746890318,0.0821917808219178,0.9178082191780822,0.0,1.0385608556874115,0.958904109589041,127.950223,135.877515,-0.058341
NEM_SA1:LSTM,C0,-0.245186,0.665043,0.910229,0.059348107423916684,0.059348107423916684,0.0821917808219178,0.9178082191780822,0.3333333333333333,1.168567462534578,0.9315068493150684,86.134239,88.426527,-0.025923
NEM_SA1:PatchTST,C0,-0.387728,0.498092,0.885821,0.0009219611652851433,0.0009219611652851433,0.0410958904109589,0.958904109589041,0.6666666666666666,0.32771376691598925,0.8767123287671232,62.253425,62.147317,0.001707
GEFCOM14P:Linear,C0,-0.0373,0.076417,0.113717,-0.0003469014919183117,-0.0003469014919183117,0.046296296296296294,0.9537037037037037,0.6,0.0,0.9722222222222222,5.712476,5.685754,0.0047
GEFCOM14P:MLP,C0,-0.053437,0.095343,0.14878,-0.0005500878425048223,-0.0005500878425048223,0.10185185185185185,0.8981481481481481,0.36363636363636365,0.0,0.9629629629629629,6.361187,6.356441,0.000747
GEFCOM14P:LSTM,C0,-0.035143,0.078478,0.113621,-0.0002051152063297646,-0.0002051152063297646,0.037037037037037035,0.9629629629629629,0.375,0.0,0.9814814814814815,5.681354,5.681146,3.7e-05
GEFCOM14P:PatchTST,C0,-0.058983,0.103245,0.162228,-7.78170983380624e-06,-7.78170983380624e-06,0.046296296296296294,0.9537037037037037,0.4,0.0,0.9814814814814815,6.579457,6.606515,-0.004096
NORD_DK1:Linear,C0,-0.042865,0.175708,0.218573,0.009461025257794988,0.009461025257794988,0.11940298507462686,0.8805970149253731,0.375,0.12680179838045488,0.8208955223880597,31.810107,32.780443,-0.029601
NORD_DK1:MLP,C0,-0.109614,0.218026,0.32764,0.1271953670351482,0.1271953670351482,0.5572139303482587,0.4427860696517413,0.19642857142857142,0.0802312067973219,0.8159203980099502,46.513835,74.272883,-0.373744
NORD_DK1:LSTM,C0,-0.052228,0.142569,0.194797,0.09398762261009098,0.09398762261009098,0.4577114427860697,0.5422885572139303,0.2717391304347826,0.08734126854993961,0.7761194029850746,37.478302,51.05337,-0.2659
NORD_DK1:PatchTST,C0,-0.051997,0.161321,0.213318,0.05872603001135316,0.05872603001135316,0.30845771144278605,0.6915422885572139,0.3225806451612903,0.1261573016718063,0.7960199004975125,41.619606,49.45916,-0.158506
