variant,mae_base,mae_bech,mae_gain_pct,tail_base,tail_bech,tail_gain_pct,neg_miss_base,neg_miss_bech,mae_neg_base,mae_neg_bech,mae_normal_base,mae_normal_bech,tau_neg,tau_pos,lam_neg,lam_pos,fire_rate,n_fired,harm_rate,worst_harm,dm_p,dataset,backbone,tier,family
alpha=0.10,83.87087241639173,81.91247424510588,2.3350158581432625,1597.154953188413,1597.0005975357767,0.009664413107075142,0.6371681415929203,0.4890342439399769,81.00061276760263,70.95002600765852,59.68306518359107,61.168516935830596,0.5,0.5,0.55,0.0,0.22983501374885426,2006,0.3793619142572283,124.21988498327664,6.999290036446837e-10,NEM_SA1,Linear,L1,alpha
alpha=0.20,83.87087241639173,81.94780906577682,2.292885831767104,1597.154953188413,1596.9943760091583,0.010053951179509918,0.6371681415929203,0.510580992689496,81.00061276760263,71.65155995328031,59.68306518359107,60.919276328746854,0.5,0.5,0.5,0.0,0.22983501374885426,2006,0.3708873379860419,112.9271681666151,3.620281852079188e-11,NEM_SA1,Linear,L1,alpha
no-SCARR (lambda=1),83.87087241639173,83.5364829063803,0.39869563816064546,1597.154953188413,1597.3603493014073,-0.012860124347001393,0.6371681415929203,0.42631781454405543,81.00061276760263,69.86133668997336,59.68306518359107,63.966123242554325,0.5,0.5,1.0,1.0,0.22983501374885426,2006,0.4661016949152542,225.85433633323024,0.2593470896837331,NEM_SA1,Linear,L1,safety
A0 v0,65.26392716762268,65.26392716762268,0.0,1372.0026320961742,1372.0026320961742,0.0,0.637905962190984,0.637905962190984,45.20734731303524,45.20734731303524,56.957302401497834,56.957302401497834,1.01,1.01,0.0,0.0,0.0,0,,,,NEM_VIC1,GBDT,L2,ladder
A1 +L1 magnitude,65.26392716762268,65.2526337644019,0.017304204191957877,1372.0026320961742,1371.998291623446,0.000316360379106091,0.637905962190984,0.635967038293747,45.20734731303524,45.10661097652826,56.957302401497834,56.97378056724491,0.96,1.01,0.1,0.0,0.024289642529789185,212,0.5188679245283019,4.945346190717977,0.09971219138964316,NEM_VIC1,GBDT,L2,ladder
A2 +Bayes gate,65.26392716762268,65.13926595920125,0.19101089044373865,1372.0026320961742,1371.999907738883,0.00019856793475221356,0.637905962190984,0.6199709161415414,45.20734731303524,44.36046592740956,56.957302401497834,57.05671013474723,0.5,0.5,0.05,0.0,0.21998166819431714,1920,0.44895833333333335,8.076235375469736,5.593089287270203e-07,NEM_VIC1,GBDT,L2,ladder
A3 +two-tier cert,65.26392716762268,65.12970931549431,0.20565396223192345,1372.0026320961742,1372.0515845840844,-0.0035679587462115543,0.637905962190984,0.47600581677169174,45.20734731303524,39.484952164560156,56.957302401497834,58.56120101053671,0.5,0.5,0.45,0.0,0.21998166819431714,1920,0.5427083333333333,72.68611837922757,0.27322555203799515,NEM_VIC1,GBDT,L2,ladder
A4 +S2b reuse (=v1),65.26392716762268,65.03108923351974,0.35676359699429266,1372.0026320961742,1372.033445608002,-0.0022458784777034816,0.637905962190984,0.4963645176926806,45.20734731303524,39.853284871878294,56.957302401497834,58.31676263185323,0.5,0.5,0.4,0.0,0.21998166819431714,1920,0.528125,64.60988300375783,0.12155653838258407,NEM_VIC1,GBDT,L2,ladder
rho=0.00,65.26392716762268,65.26392716762268,0.0,1372.0026320961742,1372.0026320961742,0.0,0.637905962190984,0.637905962190984,45.20734731303524,45.20734731303524,56.957302401497834,56.957302401497834,0.5,0.5,0.0,0.0,0.0,0,,,,NEM_VIC1,GBDT,L2,rho
rho=0.10,65.26392716762268,65.13926595920125,0.19101089044373865,1372.0026320961742,1371.999907738883,0.00019856793475221356,0.637905962190984,0.6199709161415414,45.20734731303524,44.36046592740956,56.957302401497834,57.05671013474723,0.5,0.5,0.05,0.0,0.21998166819431714,1920,0.44895833333333335,8.076235375469736,5.593089287270203e-07,NEM_VIC1,GBDT,L2,rho
rho=0.25,65.26392716762268,64.90301573529739,0.553002934374968,1372.0026320961742,1372.0037652102083,-8.258832800398857e-05,0.637905962190984,0.5603490063015026,45.20734731303524,42.021875454190365,56.957302401497834,57.47337984696718,0.5,0.5,0.2,0.0,0.21998166819431714,1920,0.4791666666666667,32.304941501878915,0.00021752911709116418,NEM_VIC1,GBDT,L2,rho
rho=0.50,65.26392716762268,65.03108923351974,0.35676359699429266,1372.0026320961742,1372.033445608002,-0.0022458784777034816,0.637905962190984,0.4963645176926806,45.20734731303524,39.853284871878294,56.957302401497834,58.31676263185323,0.5,0.5,0.4,0.0,0.21998166819431714,1920,0.528125,64.60988300375783,0.12155653838258407,NEM_VIC1,GBDT,L2,rho
rho=1.00,65.26392716762268,65.03108923351974,0.35676359699429266,1372.0026320961742,1372.033445608002,-0.0022458784777034816,0.637905962190984,0.4963645176926806,45.20734731303524,39.853284871878294,56.957302401497834,58.31676263185323,0.5,0.5,0.4,0.0,0.21998166819431714,1920,0.528125,64.60988300375783,0.12155653838258407,NEM_VIC1,GBDT,L2,rho
alpha=0.05,65.26392716762268,64.90156869525799,0.5552201470101777,1372.0026320961742,1372.0099178811317,-0.000531032870277487,0.637905962190984,0.5264178380998545,45.20734731303524,40.770796387919006,56.957302401497834,57.860762403264914,0.5,0.5,0.3,0.0,0.21998166819431714,1920,0.49947916666666664,48.45741225281836,0.008608202343237559,NEM_VIC1,GBDT,L2,alpha
alpha=0.10,65.26392716762268,65.03108923351974,0.35676359699429266,1372.0026320961742,1372.033445608002,-0.0022458784777034816,0.637905962190984,0.4963645176926806,45.20734731303524,39.853284871878294,56.957302401497834,58.31676263185323,0.5,0.5,0.4,0.0,0.21998166819431714,1920,0.528125,64.60988300375783,0.12155653838258407,NEM_VIC1,GBDT,L2,alpha
alpha=0.20,65.26392716762268,65.03108923351974,0.35676359699429266,1372.0026320961742,1372.033445608002,-0.0022458784777034816,0.637905962190984,0.4963645176926806,45.20734731303524,39.853284871878294,56.957302401497834,58.31676263185323,0.5,0.5,0.4,0.0,0.21998166819431714,1920,0.528125,64.60988300375783,0.12155653838258407,NEM_VIC1,GBDT,L2,alpha
no-SCARR (lambda=1),65.26392716762268,68.3142244493634,-4.673787518036392,1372.0026320961742,1372.822823435288,-0.059780595162609626,0.637905962190984,0.41299079011148815,45.20734731303524,42.03525591351812,56.957302401497834,61.95986940485178,0.5,0.5,1.0,1.0,0.22043996333638863,1924,0.6860706860706861,161.52470750939457,0.9999999999999912,NEM_VIC1,GBDT,L2,safety
A0 v0,69.64677784033334,69.59465493309175,0.07483893563761,1581.8724576360726,1581.8724576360726,0.0,0.9724011039558418,0.9724011039558418,65.54987628533033,65.11053343480066,49.06724722718726,49.070233631424905,0.88,1.01,0.05,0.0,0.022341888175985335,195,0.13333333333333333,4.00612529734952,2.2256005371978915e-08,NEM_NSW1,GBDT,L2,ladder
A1 +L1 magnitude,69.64677784033334,69.59491193436018,0.0744699289492798,1581.8724576360726,1581.8724576360726,0.0,0.9724011039558418,0.9714811407543699,65.54987628533033,65.10546741188816,49.06724722718726,49.07125604223975,0.88,1.01,0.05,0.0,0.022341888175985335,195,0.15897435897435896,4.384863360813441,3.93314327773453e-08,NEM_NSW1,GBDT,L2,ladder
A2 +Bayes gate,69.64677784033334,69.52995487807289,0.1677363488778707,1581.8724576360726,1581.9044318350225,-0.002021288049840156,0.9724011039558418,0.9705611775528978,65.54987628533033,64.58152649308994,49.06724722718726,49.07088364515831,0.5,0.5,0.05,0.0,0.05682859761686526,496,0.2056451612903226,4.417074954108237,1.1435297153639112e-13,NEM_NSW1,GBDT,L2,ladder
A3 +two-tier cert,69.64677784033334,68.93278982946994,1.0251558406624859,1581.8724576360726,1582.0999728448871,-0.01438265188298186,0.9724011039558418,0.8969641214351426,65.54987628533033,58.85123050683401,49.06724722718726,49.200747368751976,0.5,0.5,0.35,0.0,0.05682859761686526,496,0.25806451612903225,30.91952467875764,5.959832627411288e-11,NEM_NSW1,GBDT,L2,ladder
A4 +S2b reuse (=v1),69.64677784033334,68.93278982946994,1.0251558406624859,1581.8724576360726,1582.0999728448871,-0.01438265188298186,0.9724011039558418,0.8969641214351426,65.54987628533033,58.85123050683401,49.06724722718726,49.200747368751976,0.5,0.5,0.35,0.0,0.05682859761686526,496,0.25806451612903225,30.91952467875764,5.959832627411288e-11,NEM_NSW1,GBDT,L2,ladder
rho=0.00,69.64677784033334,69.64677784033334,0.0,1581.8724576360726,1581.8724576360726,0.0,0.9724011039558418,0.9724011039558418,65.54987628533033,65.54987628533033,49.06724722718726,49.06724722718726,0.5,0.5,0.0,0.0,0.0,0,,,,NEM_NSW1,GBDT,L2,rho
rho=0.10,69.64677784033334,69.52995487807289,0.1677363488778707,1581.8724576360726,1581.9044318350225,-0.002021288049840156,0.9724011039558418,0.9705611775528978,65.54987628533033,64.58152649308994,49.06724722718726,49.07088364515831,0.5,0.5,0.05,0.0,0.05682859761686526,496,0.2056451612903226,4.417074954108237,1.1435297153639112e-13,NEM_NSW1,GBDT,L2,rho
rho=0.25,69.64677784033334,69.31154127266797,0.4813382299378053,1581.8724576360726,1581.9689082498733,-0.006097243386159754,0.9724011039558418,0.954001839926403,65.54987628533033,62.65821122880299,49.06724722718726,49.09377639207579,0.5,0.5,0.15,0.0,0.05682859761686526,496,0.22379032258064516,13.251224862324705,9.323652960802065e-13,NEM_NSW1,GBDT,L2,rho
rho=0.50,69.64677784033334,68.93278982946994,1.0251558406624859,1581.8724576360726,1582.0999728448871,-0.01438265188298186,0.9724011039558418,0.8969641214351426,65.54987628533033,58.85123050683401,49.06724722718726,49.200747368751976,0.5,0.5,0.35,0.0,0.05682859761686526,496,0.25806451612903225,30.91952467875764,5.959832627411288e-11,NEM_NSW1,GBDT,L2,rho
rho=1.00,69.64677784033334,68.77933144482999,1.2454939372672613,1581.8724576360726,1582.1665608501141,-0.01859209398468658,0.9724011039558418,0.827966881324747,65.54987628533033,57.05813736827662,49.06724722718726,49.27975854788167,0.5,0.5,0.45,0.0,0.05682859761686526,496,0.2701612903225806,39.753674586974114,3.736007059274016e-10,NEM_NSW1,GBDT,L2,rho
alpha=0.05,69.64677784033334,69.02144073193958,0.8978694029856817,1581.8724576360726,1582.066942752695,-0.012294614251839307,0.9724011039558418,0.921803127874885,65.54987628533033,59.79609113142893,49.06724722718726,49.168040632492854,0.5,0.5,0.3,0.0,0.05682859761686526,496,0.24596774193548387,26.50244972464941,2.5934587810638732e-11,NEM_NSW1,GBDT,L2,alpha
alpha=0.10,69.64677784033334,68.93278982946994,1.0251558406624859,1581.8724576360726,1582.0999728448871,-0.01438265188298186,0.9724011039558418,0.8969641214351426,65.54987628533033,58.85123050683401,49.06724722718726,49.200747368751976,0.5,0.5,0.35,0.0,0.05682859761686526,496,0.25806451612903225,30.91952467875764,5.959832627411288e-11,NEM_NSW1,GBDT,L2,alpha
alpha=0.20,69.64677784033334,68.71705651646573,1.3349093133913759,1581.8724576360726,1582.2001212619732,-0.020713656421472607,0.9724011039558418,0.7985280588776449,65.54987628533033,56.238983717973596,49.06724722718726,49.32480908637515,0.5,0.5,0.5,0.0,0.05682859761686526,496,0.2721774193548387,44.170749541082344,1.1094494212215977e-09,NEM_NSW1,GBDT,L2,alpha
no-SCARR (lambda=1),69.64677784033334,69.43937655674355,0.2977902065552273,1581.8724576360726,1583.8562108553726,-0.12540538333062337,0.9724011039558418,0.6927322907083716,65.54987628533033,55.92149002689473,49.06724722718726,50.19492931597822,0.5,0.5,1.0,1.0,0.05785976168652612,505,0.4,966.9499670788398,0.2280960077486709,NEM_NSW1,GBDT,L2,safety
A0 v0,6.664246267347285,6.631347739478306,0.4936571451474044,35.76571648679787,34.92392769718105,2.3536192541467718,0.23711340206185566,0.23711340206185566,26.562905878079345,25.779711702014144,6.0213274427909935,6.002258579456727,0.7,1.01,0.45,0.0,0.011870572467930308,124,0.3790322580645161,16.79987250982574,0.027146388658028542,LAGO_DE,GBDT,L1,ladder
