Timestamp,SE1,SE2,SE3,SE4
2018-01-09 19:00:00,31.5,31.5,31.5,31.5
2018-01-09 20:00:00,30.59,30.59,30.59,30.59
2018-01-09 21:00:00,30.15,30.15,30.15,30.15
2018-01-09 22:00:00,29.23,29.23,29.23,29.23
2018-01-09 23:00:00,28.56,28.56,28.56,28.56
2018-01-10 00:00:00,28.87,28.87,28.87,28.87
2018-01-10 01:00:00,28.3,28.3,28.3,28.3
2018-01-10 02:00:00,27.95,27.95,27.95,27.95
2018-01-10 03:00:00,27.57,27.57,27.57,27.57
2018-01-10 04:00:00,28.04,28.04,28.04,28.04
2018-01-10 05:00:00,30.17,30.17,30.17,30.17
2018-01-10 06:00:00,33.54,33.54,33.54,33.54
2018-01-10 07:00:00,44.01,44.01,44.01,44.01
2018-01-10 08:00:00,47.98,47.98,47.98,47.98
2018-01-10 09:00:00,47.98,47.98,47.98,47.98
2018-01-10 10:00:00,48.04,48.04,48.04,48.04
2018-01-10 11:00:00,47.78,47.78,47.78,47.78
2018-01-10 12:00:00,47.09,47.09,47.09,47.09
2018-01-10 13:00:00,44.15,44.15,44.15,44.15
2018-01-10 14:00:00,45.97,45.97,45.97,45.97
2018-01-10 15:00:00,46.83,46.83,46.83,46.83
2018-01-10 16:00:00,48.9,48.9,48.9,48.9
2018-01-10 17:00:00,51.9,51.9,51.9,51.9
2018-01-10 18:00:00,52.69,52.69,52.69,52.69
2018-01-10 19:00:00,44.94,44.94,44.94,44.94
2018-01-10 20:00:00,39.72,39.72,39.72,39.72
2018-01-10 21:00:00,35.81,35.81,35.81,35.81
2018-01-10 22:00:00,31.92,31.92,31.92,31.92
2018-01-10 23:00:00,30.34,30.34,30.34,30.34
2018-01-11 00:00:00,31.01,31.01,31.01,31.01
2018-01-11 01:00:00,30.03,30.03,30.03,30.03
2018-01-11 02:00:00,29.86,29.86,29.86,29.86
2018-01-11 03:00:00,29.97,29.97,29.97,29.97
2018-01-11 04:00:00,30.95,30.95,30.95,30.95
2018-01-11 05:00:00,33.24,33.24,33.24,33.24
2018-01-11 06:00:00,37.07,37.07,37.07,39.44
2018-01-11 07:00:00,51.37,51.37,51.37,51.37
2018-01-11 08:00:00,55.65,55.65,55.65,55.65
2018-01-11 09:00:00,55.11,55.11,55.11,55.11
2018-01-11 10:00:00,55.13,55.13,55.13,55.13
2018-01-11 11:00:00,54.57,54.57,54.57,54.57
2018-01-11 12:00:00,52.86,52.86,52.86,52.86
2018-01-11 13:00:00,46.87,46.87,46.87,46.87
2018-01-11 14:00:00,49.91,49.91,49.91,49.91
2018-01-11 15:00:00,52.28,52.28,52.28,52.28
2018-01-11 16:00:00,54.81,54.81,54.81,54.81
2018-01-11 17:00:00,56.38,56.38,56.38,56.38
2018-01-11 18:00:00,55.87,55.87,56.1,56.1
2018-01-11 19:00:00,40.06,40.06,40.06,40.06
2018-01-11 20:00:00,35.14,35.14,35.14,35.14
2018-01-11 21:00:00,33.14,33.14,33.14,33.14
2018-01-11 22:00:00,31.05,31.05,31.05,31.05
2018-01-11 23:00:00,30.06,30.06,30.06,30.06
2018-01-12 00:00:00,30.0,30.0,30.0,30.0
2018-01-12 01:00:00,29.42,29.42,29.42,29.42
2018-01-12 02:00:00,29.2,29.2,29.2,29.2
2018-01-12 03:00:00,29.18,29.18,29.18,29.18
2018-01-12 04:00:00,29.6,29.6,29.6,29.6
2018-01-12 05:00:00,31.22,31.22,31.22,31.22
2018-01-12 06:00:00,33.22,33.22,33.22,33.22
2018-01-12 07:00:00,44.19,44.19,44.19,44.19
2018-01-12 08:00:00,47.08,47.08,47.08,47.08
2018-01-12 09:00:00,44.35,44.35,44.35,44.35
2018-01-12 10:00:00,43.57,43.57,43.57,43.57
2018-01-12 11:00:00,43.44,43.44,43.44,43.44
2018-01-12 12:00:00,39.58,39.58,39.58,39.58
2018-01-12 13:00:00,37.63,37.63,37.63,37.63
2018-01-12 14:00:00,36.73,36.73,36.73,36.73
2018-01-12 15:00:00,35.2,35.2,35.2,35.2
2018-01-12 16:00:00,39.56,39.56,39.56,44.07
2018-01-12 17:00:00,41.05,41.05,41.05,45.89
2018-01-12 18:00:00,38.48,38.48,38.48,43.53
2018-01-12 19:00:00,33.11,33.11,33.11,33.11
2018-01-12 20:00:00,31.56,31.56,31.56,31.56
2018-01-12 21:00:00,31.45,31.45,31.45,31.45
2018-01-12 22:00:00,30.36,30.36,30.36,30.36
2018-01-12 23:00:00,29.54,29.54,29.54,29.54
2018-01-13 00:00:00,30.15,30.15,30.15,30.15
2018-01-13 01:00:00,29.63,29.63,29.63,29.63
2018-01-13 02:00:00,29.16,29.16,29.16,29.16
2018-01-13 03:00:00,28.93,28.93,28.93,28.93
2018-01-13 04:00:00,28.79,28.79,28.79,28.79
2018-01-13 05:00:00,28.98,28.98,28.98,28.98
2018-01-13 06:00:00,29.35,29.35,29.35,29.35
2018-01-13 07:00:00,30.28,30.28,30.28,30.28
2018-01-13 08:00:00,30.85,30.85,30.85,30.85
2018-01-13 09:00:00,31.51,31.51,31.51,31.51
2018-01-13 10:00:00,31.81,31.81,31.81,31.81
2018-01-13 11:00:00,31.89,31.89,31.89,31.89
2018-01-13 12:00:00,31.88,31.88,31.88,31.88
2018-01-13 13:00:00,31.85,31.85,31.85,31.85
2018-01-13 14:00:00,31.39,31.39,31.39,31.39
2018-01-13 15:00:00,31.33,31.33,31.33,31.33
2018-01-13 16:00:00,33.92,33.92,33.92,33.92
2018-01-13 17:00:00,37.96,37.96,37.96,37.96
2018-01-13 18:00:00,36.71,36.71,36.71,36.71
2018-01-13 19:00:00,32.07,32.07,32.07,32.07
2018-01-13 20:00:00,30.59,30.59,30.59,30.59
2018-01-13 21:00:00,29.8,29.8,29.8,29.8
2018-01-13 22:00:00,29.34,29.34,29.34,29.34
2018-01-13 23:00:00,28.8,28.8,28.8,28.8
2018-01-14 00:00:00,28.9,28.9,28.9,28.9
2018-01-14 01:00:00,28.44,28.44,28.44,28.44
2018-01-14 02:00:00,28.06,28.06,28.06,28.06
2018-01-14 03:00:00,27.97,27.97,27.97,27.97
2018-01-14 04:00:00,27.87,27.87,27.87,27.87
2018-01-14 05:00:00,28.01,28.01,28.01,28.01
2018-01-14 06:00:00,28.35,28.35,28.35,28.35
2018-01-14 07:00:00,28.55,28.55,28.55,28.55
2018-01-14 08:00:00,28.83,28.83,28.83,28.83
2018-01-14 09:00:00,29.41,29.41,29.41,29.41
2018-01-14 10:00:00,29.74,29.74,29.74,29.74
2018-01-14 11:00:00,30.13,30.13,30.13,30.13
2018-01-14 12:00:00,29.81,29.81,29.81,29.81
2018-01-14 13:00:00,29.44,29.44,29.44,29.44
2018-01-14 14:00:00,29.94,29.94,29.94,29.94
2018-01-14 15:00:00,31.32,31.32,31.32,31.32
2018-01-14 16:00:00,33.27,33.27,33.27,33.97
2018-01-14 17:00:00,33.98,33.98,33.98,37.08
2018-01-14 18:00:00,32.5,32.5,32.5,36.33
2018-01-14 19:00:00,31.38,31.38,31.38,33.38
2018-01-14 20:00:00,30.55,30.55,30.55,30.55
2018-01-14 21:00:00,29.69,29.69,29.69,29.69
2018-01-14 22:00:00,29.33,29.33,29.33,29.33
2018-01-14 23:00:00,28.82,28.82,28.82,28.82
2018-01-15 00:00:00,26.9,26.9,26.9,26.9
2018-01-15 01:00:00,24.61,24.61,24.61,24.61
2018-01-15 02:00:00,23.1,23.1,23.1,23.1
2018-01-15 03:00:00,20.89,20.89,20.89,20.89
2018-01-15 04:00:00,27.15,27.15,27.15,27.15
2018-01-15 05:00:00,28.74,28.74,28.74,28.74
2018-01-15 06:00:00,30.08,30.08,30.08,30.08
2018-01-15 07:00:00,32.35,32.35,32.35,32.35
2018-01-15 08:00:00,33.5,33.5,33.5,33.5
2018-01-15 09:00:00,32.57,32.57,32.57,32.57
2018-01-15 10:00:00,31.54,31.54,31.54,31.54
2018-01-15 11:00:00,30.3,30.3,30.3,30.3
2018-01-15 12:00:00,29.43,29.43,29.43,29.43
2018-01-15 13:00:00,29.29,29.29,29.29,29.29
2018-01-15 14:00:00,29.42,29.42,29.42,29.42
2018-01-15 15:00:00,29.24,29.24,29.24,29.24
2018-01-15 16:00:00,29.35,29.35,29.35,29.35
2018-01-15 17:00:00,30.01,30.01,30.01,30.01
2018-01-15 18:00:00,29.39,29.39,29.39,29.39
2018-01-15 19:00:00,29.16,29.16,29.16,29.16
2018-01-15 20:00:00,28.86,28.86,28.86,28.86
2018-01-15 21:00:00,28.03,28.03,28.03,28.03
2018-01-15 22:00:00,24.71,24.71,24.71,24.71
2018-01-15 23:00:00,16.53,16.53,16.53,16.53
2018-01-16 00:00:00,26.14,26.14,26.14,26.14
2018-01-16 01:00:00,23.78,23.78,23.78,23.78
2018-01-16 02:00:00,20.39,20.39,20.39,20.39
2018-01-16 03:00:00,21.51,21.51,21.51,21.51
2018-01-16 04:00:00,23.69,23.69,23.69,23.69
2018-01-16 05:00:00,27.91,27.91,27.91,27.91
2018-01-16 06:00:00,29.07,29.07,29.07,29.07
2018-01-16 07:00:00,31.65,31.65,31.65,31.65
2018-01-16 08:00:00,32.76,32.76,32.76,32.76
2018-01-16 09:00:00,33.0,33.0,33.0,33.0
2018-01-16 10:00:00,32.92,32.92,32.92,32.92
2018-01-16 11:00:00,32.97,32.97,32.97,32.97
2018-01-16 12:00:00,32.89,32.89,32.89,32.89
2018-01-16 13:00:00,32.9,32.9,32.9,32.9
2018-01-16 14:00:00,32.89,32.89,32.89,32.89
2018-01-16 15:00:00,33.78,33.78,33.78,33.78
2018-01-16 16:00:00,36.64,36.64,36.94,36.94
2018-01-16 17:00:00,35.72,35.72,42.18,42.18
2018-01-16 18:00:00,36.2,36.2,44.34,44.34
2018-01-16 19:00:00,33.99,33.99,33.99,33.99
2018-01-16 20:00:00,31.78,31.78,31.78,34.81
2018-01-16 21:00:00,30.69,30.69,30.69,30.69
2018-01-16 22:00:00,29.38,29.38,29.38,29.38
2018-01-16 23:00:00,27.88,27.88,27.88,27.88
2018-01-17 00:00:00,28.14,28.14,28.14,28.14
2018-01-17 01:00:00,27.75,27.75,27.75,27.75
2018-01-17 02:00:00,27.53,27.53,27.53,27.53
2018-01-17 03:00:00,27.47,27.47,27.47,27.47
2018-01-17 04:00:00,27.91,27.91,27.91,27.91
2018-01-17 05:00:00,29.05,29.05,29.05,29.05
2018-01-17 06:00:00,31.47,31.47,31.47,31.47
2018-01-17 07:00:00,39.04,39.04,39.04,39.04
