market,host,cell,n_post_train_days,n_entries,mass_positive_mean,mass_positive_median,mass_positive_q25,mass_positive_q75,mass_positive_iqr,mass_positive_std,mass_negative_mean,mass_negative_median,mass_negative_q25,mass_negative_q75,mass_negative_iqr,mass_negative_std,mass_positive_near_zero_fraction,mass_negative_near_zero_fraction,mass_positive_exact_zero_fraction,mass_negative_exact_zero_fraction,mass_asymmetry_median_ratio,mass_asymmetry_mean_ratio,n_days_defined_positive,n_days_defined_negative,n_days_defined_both,n_days_defined_neither,shape_positive_entropy_mean,shape_negative_entropy_mean,shape_positive_concentration_mean,shape_negative_concentration_mean,shape_positive_entropy_uniform_fraction,shape_negative_entropy_uniform_fraction,peak_positive_modal_hour,peak_positive_modal_fraction,peak_negative_modal_hour,peak_negative_modal_fraction,w1_adjacent_pair_mean,w1_random_pair_mean,w1_pair_ratio,reconstruction_max_abs_err,reconstruction_max_rel_err,knn_enabled,roles_used,dev_eval_rows_materialised,protected_final_read_count
SHAANXI_DA,iTransformer,SHAANXI_DA::iTransformer,61,1464,1053.6963873065886,760.0185852050781,395.0974578857422,1407.2702026367188,1012.1727447509766,934.0174722829869,1365.683235105921,1233.5799407958984,807.9806060791016,1944.1035346984863,1136.1229286193848,828.4660711248516,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.03278688524590164,0.6161080932580005,0.7715525534915605,60,59,58,0,1.8898457994905515,2.3369740734936575,0.31182124310446496,0.19416831539612475,0.0,0.0,18,0.2,23,0.2033898305084746,4.709940301918615,5.6801243035737325,0.8291966953883892,1.1368683772161603e-13,1.781868420855675e-16,False,POST_TRAIN,0,0
SHAANXI_DA,LSTM,SHAANXI_DA::LSTM,61,1464,942.6920970854212,584.685791015625,177.97494506835938,1605.4486236572266,1427.4736785888672,944.839251778836,1925.0550361383157,1662.4034423828125,596.873176574707,3214.0735778808594,2617.2004013061523,1405.791475996121,0.11475409836065574,0.0,0.11475409836065574,0.0,0.35171112866414866,0.48969617979155194,54,61,54,0,1.7156631651240062,2.437615415610549,0.37512309981035613,0.17748293723323094,0.0,0.0,0,0.18518518518518517,23,0.21311475409836064,5.457100736420664,7.169017705085966,0.7612062015901,5.684341886080802e-14,9.043234552644841e-17,False,POST_TRAIN,0,0
NINGXIA_DA,PatchTST,NINGXIA_DA::PatchTST,22,528,1175.2912068800492,1092.0638580322266,674.212100982666,1614.9879302978516,940.7758293151855,834.6616068831078,930.521542635831,505.937931060791,277.26492977142334,1258.8727340698242,981.6078042984009,946.8674266333585,0.0,0.0,0.0,0.0,2.158493741994232,1.263045671732515,22,22,22,0,2.3546928952275743,1.8064904956677446,0.186005803131866,0.3168531354776461,0.0,0.0,0,0.18181818181818182,16,0.4090909090909091,4.558741678771337,3.965595496290445,1.1495730421914543,2.842170943040401e-14,9.733185445195735e-17,False,POST_TRAIN,0,0
NINGXIA_DA,TimeMixer,NINGXIA_DA::TimeMixer,22,528,1457.0746050747957,1501.350902557373,885.4009246826172,1918.572380065918,1033.1714553833008,984.1961524567714,1215.8281967856667,905.259952545166,619.0647468566895,1584.8482666015625,965.783519744873,904.5516882462784,0.09090909090909091,0.0,0.09090909090909091,0.0,1.6584748925833726,1.1984214619523728,20,22,20,0,2.3881098118193798,2.1621167194489637,0.16895827453418322,0.22408255481777098,0.0,0.0,3,0.4,16,0.7272727272727273,3.8664554244977984,4.7425542209755065,0.8152685756120883,2.842170943040401e-14,9.263127971148424e-17,False,POST_TRAIN,0,0
NINGXIA_DA,iTransformer,NINGXIA_DA::iTransformer,22,528,1307.0447862798517,1332.960865020752,568.3950119018555,1698.097749710083,1129.7027378082275,886.812003344647,938.9412432583896,563.1352615356445,233.49610137939453,1383.9152717590332,1150.4191703796387,927.5464219073266,0.0,0.0,0.0,0.0,2.367034984429545,1.3920410842152802,22,22,22,0,2.3195427226329426,1.8781500703303229,0.19576189154856635,0.2890512734161836,0.0,0.0,8,0.13636363636363635,16,0.22727272727272727,4.735426859042578,4.072846125339854,1.1626824862300524,2.842170943040401e-14,8.170466690653246e-17,False,POST_TRAIN,0,0
NINGXIA_DA,LSTM,NINGXIA_DA::LSTM,22,528,1219.9493559057062,1212.6786727905273,251.53932189941406,1999.0244598388672,1747.4851379394531,1016.328266299644,786.3379435105758,356.0552520751953,146.53824996948242,1175.6930618286133,1029.1548118591309,861.5866219598091,0.13636363636363635,0.045454545454545456,0.13636363636363635,0.045454545454545456,3.4058721665322373,1.5514313737161007,19,21,18,0,2.415931355341395,1.733864454564996,0.1636532690192361,0.39026722042013356,0.0,0.0,3,0.21052631578947367,16,0.6190476190476191,4.694649971876353,4.609825262283756,1.0184008513916152,2.842170943040401e-14,9.441350537762546e-17,False,POST_TRAIN,0,0
QINGHAI_DA,PatchTST,QINGHAI_DA::PatchTST,20,480,1417.0833053588867,1460.5551071166992,1108.6458339691162,1869.476505279541,760.8306713104248,564.77548199571,1043.972738647461,985.3940658569336,659.7996463775635,1148.8174304962158,489.01778411865234,501.87214044550444,0.0,0.0,0.0,0.0,1.4822040823297924,1.3573949327401176,20,20,20,0,2.267262178827392,2.080794477835992,0.1858185358375746,0.23352487756875412,0.0,0.0,19,0.6,23,0.5,2.655753236135982,3.3195519974375443,0.8000336304977397,5.684341886080802e-14,1.3478201669929092e-16,False,POST_TRAIN,0,0
QINGHAI_DA,TimeMixer,QINGHAI_DA::TimeMixer,20,480,993.9842735290528,961.2490081787109,737.7671451568604,1330.2560386657715,592.4888935089111,396.57779254516896,1400.5441944122315,1343.2380180358887,1130.2278232574463,1538.882495880127,408.65467262268066,498.424059379847,0.0,0.0,0.0,0.0,0.715620757655646,0.7097128940984255,20,20,20,0,2.276789383498839,2.191368009878953,0.17923929156835322,0.20152362998653545,0.0,0.0,20,0.3,23,0.4,2.4426557311850643,2.922172514316939,0.8359040129278739,5.684341886080802e-14,1.4730648632888465e-16,False,POST_TRAIN,0,0
QINGHAI_DA,iTransformer,QINGHAI_DA::iTransformer,20,480,1279.8260044097901,1251.0627212524414,990.3265991210938,1695.9606132507324,705.6340141296387,460.46794509719473,1551.8980018615723,1491.4047813415527,1191.4520530700684,1735.565294265747,544.1132411956787,552.5381303098138,0.0,0.0,0.0,0.0,0.8388485385752095,0.824684356107541,20,20,20,0,2.351032951695136,2.2218494162716285,0.16355269722530225,0.20525234919878352,0.0,0.0,10,0.3,23,0.5,1.8648898474678073,2.1443352159764193,0.8696820504431407,5.684341886080802e-14,1.2416530084797505e-16,False,POST_TRAIN,0,0
QINGHAI_DA,LSTM,QINGHAI_DA::LSTM,20,480,633.5984436035156,544.9433555603027,428.48935317993164,849.0579509735107,420.5685977935791,335.91391617893294,2060.6622829437256,1931.8640937805176,1801.315414428711,2247.0251903533936,445.7097759246826,591.8791350905152,0.0,0.0,0.0,0.0,0.2820816212251703,0.3074732084184114,20,20,20,0,1.7735033869919392,2.4219385859958957,0.2747097912207044,0.15309861601763616,0.0,0.0,18,0.25,23,0.5,2.796136615018174,3.196789339170501,0.8746702764417101,5.684341886080802e-14,1.3340828558328412e-16,False,POST_TRAIN,0,0
