Timestamp,North Macedonia
2024-01-17 09:00:00,125.49
2024-01-17 10:00:00,119.2
2024-01-17 11:00:00,115.08
2024-01-17 12:00:00,110.88
2024-01-17 13:00:00,112.98
2024-01-17 14:00:00,115.77
2024-01-17 15:00:00,119.37
2024-01-17 16:00:00,127.43
2024-01-17 17:00:00,136.7
2024-01-17 18:00:00,130.0
2024-01-17 19:00:00,125.27
2024-01-17 20:00:00,113.91
2024-01-17 21:00:00,103.12
2024-01-17 22:00:00,102.84
2024-01-17 23:00:00,100.92
2024-01-18 00:00:00,87.92
2024-01-18 01:00:00,82.93
2024-01-18 02:00:00,80.63
2024-01-18 03:00:00,78.39
2024-01-18 04:00:00,78.84
2024-01-18 05:00:00,83.02
2024-01-18 06:00:00,101.58
2024-01-18 07:00:00,113.96
2024-01-18 08:00:00,115.0
2024-01-18 09:00:00,115.0
2024-01-18 10:00:00,106.91
2024-01-18 11:00:00,102.78
2024-01-18 12:00:00,101.19
2024-01-18 13:00:00,102.78
2024-01-18 14:00:00,104.0
2024-01-18 15:00:00,106.85
2024-01-18 16:00:00,115.09
2024-01-18 17:00:00,121.11
2024-01-18 18:00:00,120.75
2024-01-18 19:00:00,118.93
2024-01-18 20:00:00,107.02
2024-01-18 21:00:00,97.23
2024-01-18 22:00:00,92.68
2024-01-18 23:00:00,84.02
2024-01-19 00:00:00,83.0
2024-01-19 01:00:00,75.6
2024-01-19 02:00:00,73.6
2024-01-19 03:00:00,71.34
2024-01-19 04:00:00,69.38
2024-01-19 05:00:00,71.86
2024-01-19 06:00:00,92.44
2024-01-19 07:00:00,105.13
2024-01-19 08:00:00,108.69
2024-01-19 09:00:00,107.19
2024-01-19 10:00:00,88.83
2024-01-19 11:00:00,81.67
2024-01-19 12:00:00,79.29
2024-01-19 13:00:00,82.48
2024-01-19 14:00:00,85.83
2024-01-19 15:00:00,97.43
2024-01-19 16:00:00,105.0
2024-01-19 17:00:00,109.13
2024-01-19 18:00:00,107.15
2024-01-19 19:00:00,106.0
2024-01-19 20:00:00,102.72
2024-01-19 21:00:00,92.25
2024-01-19 22:00:00,88.59
2024-01-19 23:00:00,81.21
2024-01-20 00:00:00,90.8
2024-01-20 01:00:00,85.91
2024-01-20 02:00:00,69.17
2024-01-20 03:00:00,67.66
2024-01-20 04:00:00,66.57
2024-01-20 05:00:00,73.21
2024-01-20 06:00:00,79.53
2024-01-20 07:00:00,85.76
2024-01-20 08:00:00,87.3
2024-01-20 09:00:00,97.07
2024-01-20 10:00:00,102.75
2024-01-20 11:00:00,90.6
2024-01-20 12:00:00,90.99
2024-01-20 13:00:00,96.86
2024-01-20 14:00:00,96.76
2024-01-20 15:00:00,95.78
2024-01-20 16:00:00,99.58
2024-01-20 17:00:00,104.77
2024-01-20 18:00:00,103.48
2024-01-20 19:00:00,95.45
2024-01-20 20:00:00,90.93
2024-01-20 21:00:00,87.54
2024-01-20 22:00:00,84.85
2024-01-20 23:00:00,80.84
2024-01-21 00:00:00,80.88
2024-01-21 01:00:00,68.71
2024-01-21 02:00:00,62.85
2024-01-21 03:00:00,57.04
2024-01-21 04:00:00,55.07
2024-01-21 05:00:00,51.53
2024-01-21 06:00:00,53.6
2024-01-21 07:00:00,63.94
