cell,market,host,config,seeds,n_seeds,n_failed_seeds,complete,switches,n_days,n_entries_evaluated,n_days_any_valid,overall_mae,host_mae,mae_gain_abs,mae_gain_pct,tail_mae,tail_mae_host,upper_tail_mae,lower_tail_mae,normal_mae,normal_mae_host,normal_relative_harm_pct,negative_price_mae,negative_price_mae_host,shape_w1_positive,shape_w1_negative,mass_positive_l1,mass_negative_l1,high_mass_positive_l1,high_mass_negative_l1,high_mass_positive_n_days,high_mass_negative_n_days,alpha,amplitude_scale,n_parameters,fit_seconds,inference_seconds,n_folds,final_epochs,branch_reconstruction_max_abs_err,alpha_consistency_max_abs_err
QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",6.0,144.0,6.0,131.4958347145874,114.15169938405354,-17.34413533053386,-15.19393528446827,135.92939998288816,104.84685452779134,234.6904518400167,72.74373203251577,126.59192165125796,123.45654424031575,2.5396607609872888,,,4.641650949261281,6.562637286347407,995.2170537312826,521.9485727945963,1536.5211842854817,962.9603729248047,3.0,1.0,1.1171718609667325,1192.9955444335938,46868.0,12.555,0.033198,3.0,33.0,1.0332945748814382e-05,0.0
QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",6.0,144.0,6.0,124.17688346513589,114.15169938405354,-10.025184081082344,-8.782334503276623,128.6217399174637,104.84685452779134,225.14816388692955,64.58170942584057,120.6638332425,123.45654424031575,-2.2621004135508302,,,4.55762462088871,7.2121322701497705,1058.1989568074544,502.4629770914714,1660.1268768310547,962.0736541748047,3.0,1.0,1.0859365734714816,1192.9955444335938,24084.0,6.363,0.021644,3.0,38.0,9.981951620829932e-06,0.0
QINGHAI_DA::TimeMixer,QINGHAI_DA,TimeMixer,TIED_AMPLITUDE,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":false,""use_tcn"":true}",6.0,144.0,6.0,124.35239223741797,114.15169938405354,-10.20069285336443,-8.936084971494887,123.47983411357674,104.84685452779134,207.87881557610294,69.77139136469641,125.97283459754762,123.45654424031575,2.038199248744362,,,4.548024429884591,6.731670912423701,929.7897669474283,490.4864756266276,1403.6980438232422,1110.1356658935547,3.0,1.0,1.174013510183806,1192.9955444335938,46835.0,10.791,0.033931,3.0,25.0,8.314611818605044e-06,0.0
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",6.0,144.0,6.0,148.20298714618787,116.98176119062636,-31.221225955561508,-26.688968979262757,160.71011752725678,92.05172242058649,224.76538728013355,119.94767313906246,135.69585676511892,141.91179996066623,-4.380145412340755,,,4.756779538397113,5.149333148472593,859.5397567749023,925.6020863850912,973.8918380737305,1637.1848602294922,2.0,1.0,1.1224707232350548,1334.3311157226562,24051.0,4.455,0.01624,3.0,22.0,1.1219563930353615e-05,0.0
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,FULL,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",6.0,144.0,6.0,141.59022561622464,116.98176119062636,-24.608464425598285,-21.03615484596597,144.21316817691087,92.05172242058649,209.5762496204604,103.85910274571043,138.96728305553845,141.91179996066623,-2.0748922259769222,,,4.886403572933145,5.038017012750027,775.0193456013998,704.4203440348307,1407.770622253418,2003.0823211669922,2.0,1.0,1.190001066540969,1334.3311157226562,46868.0,14.051,0.043783,3.0,35.0,1.1827589105450897e-05,0.0
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,NO_RARE_MASS,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":true}",6.0,144.0,6.0,139.98983631044766,116.98176119062636,-23.0080751198213,-19.668087474190735,143.37774722120704,92.05172242058649,208.10586847874214,103.24384517027114,139.69150830892048,141.91179996066623,-1.5645574591832063,,,4.868798033438147,5.007290068032758,768.6364110310873,706.9828643798828,1390.4059371948242,2007.7528533935547,2.0,1.0,1.1540780553189096,1334.3311157226562,46868.0,13.882,0.033444,3.0,35.0,1.1153622835990973e-05,0.0
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,NO_SHAPE_CONTEXT,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":false,""untied_amplitude_heads"":true,""use_tcn"":true}",6.0,144.0,6.0,136.2634839739172,116.98176119062636,-19.281722783290846,-16.482674381923967,134.4440966442063,92.05172242058649,205.49422235080155,86.51108464161815,136.70889896102773,141.91179996066623,-3.666292021580018,,,4.910728751985912,5.808370476813336,773.3745091756185,699.2418568929037,1522.0600509643555,1976.4768524169922,2.0,1.0,1.1379054849177639,1334.3311157226562,46868.0,11.787,0.032277,3.0,26.0,1.18529770816167e-05,0.0
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,NO_TCN,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":true,""use_tcn"":false}",6.0,144.0,6.0,136.60567605343215,116.98176119062636,-19.62391486280579,-16.77519184450288,136.14683860336268,92.05172242058649,225.5396813881696,89.10747819227176,136.45198273171889,141.91179996066623,-3.847331392076377,,,4.801857890801251,5.725636844005833,779.7795791625977,748.4155426025391,1526.1003952026367,1926.9885711669922,2.0,1.0,1.122477644247391,1334.3311157226562,24084.0,5.704,0.027218,3.0,29.0,1.159413864115777e-05,0.0
QINGHAI_DA::iTransformer,QINGHAI_DA,iTransformer,TIED_AMPLITUDE,7|17|37,3,0,True,"{""rare_mass_sampling"":true,""shape_semantic_context"":true,""untied_amplitude_heads"":false,""use_tcn"":true}",6.0,144.0,6.0,138.37749113378823,116.98176119062636,-21.395729943161868,-18.28979981614116,141.07686993563857,92.05172242058649,206.4476130255334,102.74302671427614,134.07099037365413,141.91179996066623,-5.525128699083053,,,4.762844680614955,4.910160036314224,771.1376978556315,768.1216786702474,1202.4742965698242,1892.0975799560547,2.0,1.0,1.0821007604751334,1334.3311157226562,46835.0,13.565,0.034535,3.0,38.0,9.91189290289185e-06,0.0
SHAANXI_DA::LSTM,SHAANXI_DA,LSTM,FROZEN_SMALLEST,7|17|37,3,0,True,"{""rare_mass_sampling"":false,""shape_semantic_context"":false,""untied_amplitude_heads"":false,""use_tcn"":false}",20.0,480.0,20.0,101.00303735760784,110.72560619513193,9.722568837524094,8.780777248931916,174.2936638832384,186.85881925884047,340.0524721216555,136.86425557133776,87.21569177357831,96.40351660888975,-9.530590956123053,,,4.565672526674547,2.4374114629440564,731.6154636383056,1033.856077003479,,2464.01029586792,0.0,2.0,0.8855344621565705,1085.4013671875,24755.0,7.056,0.02701,5.0,18.0,1.3427846170088742e-05,0.0
