market,host,method,seed,Overall_MAE,Tail_MAE,Normal_MAE,MSE,RMSE,relative_gain_vs_host_pct,Normal_harm_vs_host_pct,Tail_harm_vs_host_pct,parameter_count,training_seconds,inference_seconds,inference_seconds_per_day,fidelity,source,backbone_parameter_count
LAGO_DE,TimeMixer,MatchedDirectResidual,7,5.848422484490838,7.848627491000121,5.539476433176517,62.43329551739442,7.90147426227501,-24.260551889666733,27.91827964782715,9.90084457397461,15000.0,0.5732873999513686,6.609997944906354e-05,6.064218298079224e-07,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_DE,TimeMixer,delta_Adapter_AdaY,7,4.745543579259251,7.254539794724061,4.358011065837943,41.107503941702944,6.411513389341314,-0.8278498584831037,0.6357431411743164,1.5820980072021484,1144.0,0.143477100005839,0.000161699950695,1.4834857861930076e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_PJM,PatchTST,S1_DailyPatch_GRU32,7,3.0616532662791767,10.475163830478426,2.827788579711377,19.174824486506587,4.378906768419098,-1.392239281082305,1.653611660003662,-0.7906734943389893,14104.0,19.972022800066043,0.0005409000441431,4.962385726084403e-06,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_PJM,PatchTST,MatchedDirectResidual,7,3.654733743529575,10.316425932928832,3.444585724936538,25.04632556628088,5.004630412556044,-21.033182403094067,23.82630157470703,-2.2940635681152344,15000.0,0.6220174000482075,0.0001248000189661,1.1449543024421833e-06,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_PJM,PatchTST,delta_Adapter_AdaY,7,2.9756399224313945,11.146385662298044,2.71788769088986,18.488851780572823,4.299866484040269,1.4562496829796052,-2.2971153259277344,5.56640625,289816.0,0.2819060999900102,0.0011209000367671,1.0283486575845184e-05,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
LAGO_PJM,TimeMixer,S1_DailyPatch_GRU32,7,3.112615767119781,8.12538783564643,2.95448415612525,18.883762001117976,4.345545075260177,3.36959428097241,-2.1430373191833496,-15.567928314208984,14104.0,17.68199489999097,0.0005359000060707,4.916513817162689e-06,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
LAGO_PJM,TimeMixer,MatchedDirectResidual,7,3.291962822102444,10.923100448910374,3.051232928512289,21.429529026401053,4.629203930094358,-2.198191781977434,1.0614275932312012,13.503503799438477,15000.0,0.6885741000296548,6.290001329034567e-05,5.77064342113263e-07,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
LAGO_PJM,TimeMixer,delta_Adapter_AdaY,7,3.2353140589715363,9.619292659824978,3.033926721405181,21.00488756170004,4.583108940631898,-0.4395445944108294,0.4882216453552246,-0.0445544719696044,1144.0,0.0754760000272654,0.0001287999912165,1.1816512955643167e-06,ACCEPTED_WITH_DISCLOSED_PARTIAL_FIDELITY,official delta-Adapter Adapter-X+Y @ 0add06ea7b4d2e0a84c364a8be72eef2676a92f2 :: PostProcessingNet,
GANSU_DA,PatchTST,S1_DailyPatch_GRU32,7,70.72848838803822,86.6992812555651,69.0473522967196,8068.206285541901,89.823194585485,1.838830277323554,0.3247022628784179,-15.608101844787598,18712.0,11.444322500028647,0.000311599986162,1.4838094579144605e-05,FROZEN_METHOD_REPLAY,experiments/current/hch_frozen_method_baseline_transfer/panel.py::s1_row (frozen replay),
GANSU_DA,PatchTST,MatchedDirectResidual,7,92.15505413563852,130.43340532379736,88.12575401056918,15023.596257843514,122.57078060387605,-27.89822200329592,28.04530906677246,26.962100982666016,15000.0,0.3772524999803863,4.010001430287957e-05,1.909524490613313e-06,FROZEN_INTERNAL_CONTROL,experiments/current/hch_unified_da_shape_upgrade/run_canary.py::fit_direct,
