cell,market,host,seed,source,mae_o1,mae_r1,relative_val_gain_pct,abs_delta,selected_step_o1,selected_step_r1,stopped_at_step_o1,stopped_at_step_r1,correction_ratio_o1,correction_ratio_r1,val_mae_raw_o1,raw_minus_ema_gap_o1,train_recon_mae_o1,train_recon_mae_r1,val_host_mae_o1,n_val_rows_o1,n_val_rows_r1,step0_retreat,probe_code_hash
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,17,reused_o1,74.52197265625,74.9755859375,0.6050146532074243,0.45361328125,600,500,1000,900,0.18295687437057495,0.1197773888707161,75.44926452636719,0.9272918701171875,96.3523941040039,97.67084503173828,75.07028198242188,166,166,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHANDONG_DA__iTransformer,SHANDONG_DA,iTransformer,37,reused_o1,74.88529205322266,75.02806091308594,0.19028728468494963,0.14276885986328125,550,450,950,850,0.17905928194522858,0.1192198172211647,75.0901870727539,0.20489501953125,97.17411041259766,98.3365478515625,75.07028198242188,166,166,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,7,reused_o1,103.449951171875,103.449951171875,0.0,0.0,300,300,800,800,0.04529210180044174,0.04529210180044174,104.43663787841797,0.9866867065429688,72.01438903808594,72.01438903808594,103.59215545654297,41,41,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,17,reused_o1,103.49333953857422,103.49333953857422,0.0,0.0,250,250,800,800,0.03252938762307167,0.03252938762307167,104.183349609375,0.6900100708007812,72.40093231201172,72.40093231201172,103.59215545654297,41,41,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHAANXI_DA__TimeMixer,SHAANXI_DA,TimeMixer,37,reused_o1,103.47103118896484,103.47103118896484,0.0,0.0,250,250,800,800,0.030545691028237343,0.030545691028237343,104.62818908691406,1.1571578979492188,72.56974029541016,72.56974029541016,103.59215545654297,41,41,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHAANXI_DA__PatchTST,SHAANXI_DA,PatchTST,7,new_fit,111.96552276611328,111.96552276611328,0.0,0.0,0,0,800,800,1.5235235878208186e-05,1.5235235878208186e-05,111.96552276611328,0.0,65.39191436767578,65.39191436767578,111.96537780761719,41,41,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHAANXI_DA__PatchTST,SHAANXI_DA,PatchTST,17,new_fit,106.83548736572266,108.53507232666016,1.5659315689422728,1.6995849609375,800,700,1200,1100,0.25953513383865356,0.18921668827533722,106.57476043701172,-0.2607269287109375,56.59996795654297,58.56632995605469,111.96537780761719,41,41,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
SHAANXI_DA__PatchTST,SHAANXI_DA,PatchTST,37,new_fit,106.2401351928711,107.56716918945312,1.2336793898933855,1.3270339965820312,1050,1150,1450,1550,0.2893073558807373,0.22890880703926086,106.5412368774414,0.3011016845703125,55.22262191772461,56.989524841308594,111.96537780761719,41,41,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,7,reused_o1,68.11109924316406,68.36663055419922,0.3737661326348063,0.25553131103515625,600,600,1000,1000,0.43429920077323914,0.33571016788482666,73.25044250488281,5.13934326171875,61.0625,63.55231475830078,71.31417083740234,16,16,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,17,reused_o1,69.24305725097656,69.3753662109375,0.19071461123340072,0.1323089599609375,500,450,900,850,0.3263123631477356,0.24584171175956726,72.42803192138672,3.1849746704101562,64.73517608642578,67.78582000732422,71.31417083740234,16,16,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
NINGXIA_DA__iTransformer,NINGXIA_DA,iTransformer,37,reused_o1,69.61625671386719,69.63700866699219,0.02980017884489686,0.020751953125,450,450,850,850,0.22340081632137299,0.2158263623714447,75.27890014648438,5.6626434326171875,68.16696166992188,68.4857177734375,71.31417083740234,16,16,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
QINGHAI_DA__TimeMixer,QINGHAI_DA,TimeMixer,7,new_fit,151.1068878173828,152.89239501953125,1.1678194994069835,1.7855072021484375,1650,950,,1350,0.42064616084098816,0.33746662735939026,150.3816680908203,-0.7252197265625,51.95975112915039,69.07608795166016,157.57135009765625,14,14,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
QINGHAI_DA__TimeMixer,QINGHAI_DA,TimeMixer,17,new_fit,139.72242736816406,147.51681518554688,5.283728371968321,7.7943878173828125,1750,1450,,1850,0.3884199261665344,0.33701851963996887,139.50588989257812,-0.2165374755859375,47.7335205078125,59.24258041381836,157.57135009765625,14,14,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
QINGHAI_DA__TimeMixer,QINGHAI_DA,TimeMixer,37,new_fit,151.22537231445312,150.66725158691406,-0.3704326730995716,-0.5581207275390625,550,750,950,1150,0.1922438144683838,0.2849506735801697,152.78128051757812,1.555908203125,75.5372543334961,71.71947479248047,157.57135009765625,14,14,False,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880
