bin,n,yhat_lo,yhat_hi,pi_neg,pi_pos,m_neg,m_pos,M_neg,M_pos,mean_ci_lo,mean_ci_hi,dataset,backbone,evidence_status
7,1044,37.079989242553715,41.2245491027832,0.3764367816091954,0.6235632183908046,3.7665093497162254,4.751049153083297,1.4178526575081194,2.9625795006295275,1.0649498441721785,2.021561206296929,LAGO_DE,Linear,COMPUTED
8,1044,41.2245491027832,46.87744827270508,0.35344827586206895,0.646551724137931,3.972088108217813,4.59333905255353,1.4039276934218132,2.9698312839785754,1.0151221718137529,2.1238707831627104,LAGO_DE,Linear,COMPUTED
9,1044,46.87744827270508,77.69419860839844,0.41762452107279696,0.5823754789272031,4.79468287021742,4.800499150627537,2.0023771373704933,2.7956929919363436,0.08237018466528025,1.478084325395009,LAGO_DE,Linear,COMPUTED
0,1045,-13.369196891784668,12.847904968261718,0.8813397129186603,0.11866028708133972,7.681915039621318,7.353072873466918,6.770376795685391,0.8725177380955961,-6.891267466351892,-4.974393702741329,LAGO_DE,LSTM,COMPUTED
1,1044,12.847904968261718,19.383935165405273,0.8295019157088123,0.17049808429118773,4.960015979705176,2.009094123090251,4.114342757111765,0.3425466991475715,-4.1788259364512905,-3.3520780789925846,LAGO_DE,LSTM,COMPUTED
2,1044,19.383935165405273,23.738617324829104,0.774904214559387,0.22509578544061304,4.096138905830525,2.5515617695260557,3.1741153015487495,0.5743458006117079,-2.9373426180535933,-2.2973757141563507,LAGO_DE,LSTM,COMPUTED
3,1045,23.738617324829104,27.074203872680663,0.6717703349282297,0.3282296650717703,3.1575478828191077,2.5922193082359026,2.1211469987933147,0.8508432753348465,-1.5656393723636777,-0.9577623762565657,LAGO_DE,LSTM,COMPUTED
4,1044,27.074203872680663,30.14380645751953,0.48946360153256707,0.5105363984674329,2.98808697665041,3.0941374816321967,1.4625598132838693,1.5796698062355947,-0.23176337527880853,0.4557724690096167,LAGO_DE,LSTM,COMPUTED
5,1044,30.14380645751953,33.32711868286133,0.42337164750957856,0.5766283524904214,3.467211887307836,3.4945660033495325,1.4679192089943138,2.0150658371804773,0.16189538775798015,0.9170038460067919,LAGO_DE,LSTM,COMPUTED
6,1045,33.32711868286133,36.81546325683594,0.4229665071770335,0.5770334928229665,3.4893314827621253,4.247854340333448,1.4758703496467553,2.4511542270058073,0.5508745833780775,1.366447328186932,LAGO_DE,LSTM,COMPUTED
7,1044,36.81546325683594,40.59833755493164,0.42911877394636017,0.5708812260536399,3.6078446337154935,4.673089961877605,1.5481938658089474,2.6677793268956447,0.6568528518585862,1.565018185727323,LAGO_DE,LSTM,COMPUTED
8,1044,40.59833755493164,46.06352653503418,0.43199233716475094,0.5680076628352491,3.953754543465151,4.252947770322957,1.7079916658072636,2.4157069231815265,0.17165442392078517,1.307631211919795,LAGO_DE,LSTM,COMPUTED
9,1044,46.06352653503418,77.06552124023438,0.45977011494252873,0.5402298850574713,4.768951392173767,4.2006040464901755,2.192621329735065,2.269291841207336,-0.6069546791857776,0.756028547218578,LAGO_DE,LSTM,COMPUTED
0,1045,-87.28160858154297,13.356648159027099,0.9167464114832536,0.08325358851674641,12.891590047904264,5.960832618540902,11.81831891472946,0.4962607060412043,-13.087978166259786,-9.569083327640273,LAGO_DE,MLP,COMPUTED
1,1044,13.356648159027099,20.35760459899902,0.7480842911877394,0.25191570881226055,5.589872443263876,2.7860470343905255,4.181695764548934,0.7018490134527857,-3.9992849591080137,-2.980968260549546,LAGO_DE,MLP,COMPUTED
2,1044,20.35760459899902,24.61249580383301,0.6772030651340997,0.3227969348659004,4.1008824344403,3.4721015850938746,2.7771301543575597,1.1207837492113368,-2.0407423680526526,-1.2710530700398313,LAGO_DE,MLP,COMPUTED
3,1045,24.61249580383301,27.684221267700195,0.5866028708133971,0.4133971291866029,3.2745122987333364,3.6258031328519187,1.9208383149507513,1.498896606116774,-0.7927102983771981,-0.04279194762967413,LAGO_DE,MLP,COMPUTED
4,1044,27.684221267700195,30.52745819091797,0.4703065134099617,0.5296934865900383,3.3348583330204917,3.655839628595556,1.5684055953190243,1.9364744392848108,0.01049760966902911,0.7001521691993163,LAGO_DE,MLP,COMPUTED
5,1044,30.52745819091797,33.27663269042969,0.4003831417624521,0.5996168582375478,3.6477311421809584,3.9202731501180144,1.46049005501115,2.3506618697067787,0.5084885592215026,1.2403044559883913,LAGO_DE,MLP,COMPUTED
6,1045,33.27663269042969,36.79108352661133,0.4172248803827751,0.5827751196172248,3.9990505515982253,4.733437245311016,1.6685033880352405,2.758529456836755,0.6241454300126912,1.525205109891286,LAGO_DE,MLP,COMPUTED
7,1044,36.79108352661133,40.563175964355466,0.4674329501915709,0.5325670498084292,4.028531754603152,5.397234292339078,1.8830684829945765,2.874389144195908,0.46378083463164216,1.4988502191676543,LAGO_DE,MLP,COMPUTED
8,1044,40.563175964355466,46.76657676696779,0.4166666666666667,0.5833333333333334,4.0779003362546025,5.187860181961937,1.6991251401060845,3.02625177281113,0.7684959934327318,1.8409930017883656,LAGO_DE,MLP,COMPUTED
9,1044,46.76657676696779,92.19053649902344,0.35153256704980845,0.6484674329501916,4.763941928541303,6.355935610907821,1.6746807354163395,4.121617249602102,1.5903384467795616,3.2612942519774095,LAGO_DE,MLP,COMPUTED
0,1045,-13.93738079071045,14.002826309204101,0.830622009569378,0.16937799043062202,6.378738481143687,6.937972365357613,5.298320575725091,1.1751398169074618,-5.114089725322451,-3.1236774626211696,LAGO_DE,PatchTST,COMPUTED
1,1044,14.002826309204101,19.831000518798827,0.7346743295019157,0.2653256704980843,4.946811179915805,2.324727607548022,3.6342951867772246,0.6168099111980863,-3.4479638519102744,-2.5943379904774697,LAGO_DE,PatchTST,COMPUTED
2,1044,19.831000518798827,23.86016731262207,0.7308429118773946,0.26915708812260536,4.068730550543509,2.709382759718708,2.973602883203733,0.729249574215476,-2.6107723397306764,-1.9268817453903802,LAGO_DE,PatchTST,COMPUTED
3,1045,23.86016731262207,27.022837448120118,0.6679425837320574,0.3320574162679426,3.293897820065561,2.8509568453522167,2.2001346204839822,0.9466813639590616,-1.5837743796053387,-0.9190558205525071,LAGO_DE,PatchTST,COMPUTED
