candidate,mean_gain,gain_ci_lo,gain_ci_hi,harm_rate,tail_gain,normal_gain,dataset,backbone,evidence_status
partial_moment_pos,0.3199714140147306,0.2842444953787594,0.3536721985284905,0.052661815396399844,0.36896651033364947,0.31738336658820704,LAGO_DE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.8755613028622989,0.7594638157053049,0.9818571155639446,0.19590195327460744,2.4959739547401933,0.7899669248800392,LAGO_DE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,0.39068608993166803,0.3032151883920005,0.4717753858239191,0.13366526235158943,1.0019464986803526,0.3583977376953464,LAGO_DE,PatchTST,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.07418591977727432,0.023355389763761118,0.12383507184108383,0.45097663730371507,0.4915154487817879,0.052141497075826194,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.0743839955795592,0.020579273276147534,0.1271508987564047,0.4538490999617005,0.520492986868356,0.05081936741067517,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.7698658066660078,0.7022147690271866,0.8357948091204774,0.10972807353504405,1.7067050099889107,0.720379542296935,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.3893583913719647,0.34645073841433716,0.42757798546740444,0.060513213328226734,0.25082246750009374,0.3966762163829386,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.7841774913483183,0.6788877850736619,0.887642641645583,0.1918805055534278,2.911601947782453,0.6718014414318377,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,0.46687374740538995,0.37658820750496547,0.5484991295587851,0.13577173496744543,0.6061059348845391,0.4595191439538705,LAGO_DE,TCN,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.004161508964239358,-0.03509541808225554,0.04333523536822633,0.4973190348525469,0.24345835435788454,-0.008478767949699156,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.009551339567689228,-0.013085939468022195,0.03192253074553499,0.48697816928379933,0.13990702155892176,0.0026656160431523476,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.740960254765018,0.6778971460893671,0.7992919100117857,0.07353504404442743,0.7194154037032404,0.7420983093977168,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,1.0099015481861455,0.9238902759199075,1.0947381402499927,0.08942933741861356,1.9854923821076136,0.9583683226846484,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,0.8622941582137387,0.740608333604403,0.9710170107834505,0.1478360781309843,1.5087498948346683,0.8281466979325522,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,1.0939254106877312,0.9325833962485833,1.250614596913599,0.1664113366526235,3.795110255990467,0.9512418563592401,LAGO_FR,Linear,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.032410678134434504,0.01221423078106231,0.05377129823446221,0.4534661049406358,-0.09006656674949755,0.03888024227951317,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.050160144855582546,0.002598449316148665,0.1003923640238374,0.46859440827269244,-0.2121117424418908,0.06401402277331199,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.9287636925624706,0.8502262839822636,1.0073142121655754,0.09651474530831099,0.9356337190004601,0.9284008000369153,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
partial_moment_pos,0.6440646086154538,0.5823838072969592,0.7053872494494903,0.07487552661815397,1.3729980179441266,0.6055604648162376,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_neg,1.0117392613540934,0.8733518718250217,1.1445874152764461,0.17502872462657987,1.6761163912934491,0.9766451468290708,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
side_cond_mean_pos,0.7265425645414374,0.5986814047223953,0.8604461083016918,0.15683646112600536,3.1078438013455703,0.6007560879199287,LAGO_FR,LSTM,INVALID_ORACLE_DIAGNOSTIC
identity,0.0,0.0,0.0,0.0,0.0,0.0,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
mean_residual,0.11023364699513971,0.015661470167515276,0.20574476780668485,0.46553044810417465,0.9552420860424732,0.06559812057772005,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
median_residual,0.11649997313786904,0.03995108024595642,0.19393655626817463,0.45423209498276523,0.7811338264523572,0.0813922978216602,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
partial_moment_neg,0.47666488636900917,0.4304483793095968,0.5236741432528075,0.0585982382229031,0.31262859154683487,0.4853297067809869,LAGO_FR,MLP,INVALID_ORACLE_DIAGNOSTIC
