cell,method,status,selected,n_hours,mae,smape_nofloor,rmse,rmae,neg_price_rate,neg_price_mae,high_tail_rate,high_tail_mae,host_mae,host_rmae,degradation,degradation_frac,delta_crps,a1_net,a2_net,note
shandong_RT:LSTM,B3_DeltaAdapter,OK,,7968,111.503072,53.616306,146.094212,0.340598,0.1629,149.095219,0.0501,218.558075,141.844133,0.433278,-30.341061,-0.213904,,,,
shandong_RT:LSTM,B4_PIR,OK,,7968,110.303202,52.035225,147.498779,0.336933,0.1629,121.215833,0.0501,249.636543,141.844133,0.433278,-31.540931,-0.222363,,,,
shandong_RT:LSTM,B5_HCH-Universal,OK,C3,7968,141.844133,57.143155,194.373327,0.433278,0.1629,223.087006,0.0501,198.693066,141.844133,0.433278,0.0,0.0,-0.048807,-0.017078615672297414,0.0,
shandong_RT:LSTM,B6_HCH-Local,OK,C0,7968,141.450684,57.128768,193.186229,0.432076,0.1629,220.367567,0.0501,198.693066,141.844133,0.433278,-0.393449,-0.002774,-0.102192,0.0005118864771711779,0.0005118864771711779,
shandong_RT:PatchTST,B0_Identity,OK,,7968,136.49362,56.698613,187.328465,0.416934,0.1629,204.270373,0.0501,209.688469,136.49362,0.416934,0.0,0.0,,,,
shandong_RT:PatchTST,B1_ResidualL1,OK,,7968,105.133064,48.680539,145.88126,0.32114,0.1629,93.359152,0.0501,229.960941,136.49362,0.416934,-31.360556,-0.229758,,,,
shandong_RT:PatchTST,B2_QuantileResidual,OK,,7968,105.133064,48.680539,145.88126,0.32114,0.1629,93.359152,0.0501,229.960941,136.49362,0.416934,-31.360556,-0.229758,,,,
shandong_RT:PatchTST,B3_DeltaAdapter,OK,,7968,110.246238,53.853416,145.378185,0.336759,0.1629,145.656051,0.0501,234.375571,136.49362,0.416934,-26.247382,-0.192297,,,,
shandong_RT:PatchTST,B4_PIR,OK,,7968,108.967059,52.110485,145.452971,0.332851,0.1629,133.03848,0.0501,248.967895,136.49362,0.416934,-27.52656,-0.201669,,,,
shandong_RT:PatchTST,B5_HCH-Universal,OK,C3,7968,136.493619,56.698613,187.328464,0.416934,0.1629,204.270373,0.0501,209.688463,136.493619,0.416934,0.0,0.0,-0.067437,-0.0163179354324255,0.0,
shandong_RT:PatchTST,B6_HCH-Local,OK,C0,7968,127.661552,55.135124,172.203354,0.389955,0.1629,151.019534,0.0501,211.857812,136.493619,0.416934,-8.832067,-0.064707,-0.107088,0.018194930224792932,0.018194930224792932,
