model,episode_recall,episode_precision,complete_miss_rate,boundary_l1_error,duration_abs_error,event_magnitude_mae,point_recall,point_precision,overall_mae,overall_mae_ci_low,overall_mae_ci_high,normal_hour_mae,normal_hour_harm,exact_fallback_count,exact_fallback_rate,dataset,backbone
E0_NoMatching_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.439009490025466,6.417979664821811,8.607209864895662,7.460067295509733,38852.03047501469,5208,1.0,NEM_SA1,linear
Oracle_linear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NEM_SA1,linear
B0_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.553704734284308,8.562734314773598,10.799470810628009,9.57655945406494,50066.2528258515,5228,1.0,NEM_SA1,gbdt
B1_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.550102851641455,8.560333059678364,10.798180136014318,9.572938280543356,50047.321330680665,5225,0.9994261667941852,NEM_SA1,gbdt
B2_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57340060910539,8.575295533171907,10.804013243000727,9.59636081559126,50169.77434391111,5225,0.9994261667941852,NEM_SA1,gbdt
B3_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.553704734284308,8.562734314773598,10.799470810628009,9.57655945406494,50066.2528258515,5228,1.0,NEM_SA1,gbdt
B4_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.553704734284308,8.562734314773598,10.799470810628009,9.57655945406494,50066.2528258515,5228,1.0,NEM_SA1,gbdt
E0_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.579771390429668,8.561445983024713,10.850457860572988,9.601614609504503,50005.20888629946,5208,1.0,NEM_SA1,gbdt
E0_NoInsert_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.579771390429668,8.561445983024713,10.850457860572988,9.601614609504503,50005.20888629946,5208,1.0,NEM_SA1,gbdt
E0_NoShift_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.579771390429668,8.561445983024713,10.850457860572988,9.601614609504503,50005.20888629946,5208,1.0,NEM_SA1,gbdt
E0_NoMatching_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.579771390429668,8.561445983024713,10.850457860572988,9.601614609504503,50005.20888629946,5208,1.0,NEM_SA1,gbdt
Oracle_gbdt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NEM_SA1,gbdt
B0_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.6044726058411,23.30341336719203,26.035285146983345,24.11237486793614,397757.7358214746,17053,1.0,UNIELEC_DE,linear
B1_linear,0.1440677966101695,0.5862068965517241,0.8559322033898306,2.7058823529411766,2.588235294117647,14.331696207149063,0.09515260323159784,0.6385542168674698,24.600964927540296,23.292002820243145,26.033878468339175,24.0975739200501,397513.57938514644,16921,0.992259426493872,UNIELEC_DE,linear
B2_linear,0.13559322033898305,0.5517241379310345,0.864406779661017,2.75,2.75,12.871386196494301,0.10412926391382406,0.6304347826086957,24.60323950708246,23.31322893695288,26.033517153076527,24.10613606991299,397654.8206092847,16921,0.992259426493872,UNIELEC_DE,linear
B3_linear,0.16101694915254236,0.4523809523809524,0.8389830508474576,2.4210526315789473,2.4210526315789473,12.695297711610223,0.12926391382405744,0.5454545454545454,24.6044726058411,23.30341336719203,26.035285146983345,24.11237486793614,397757.7358214746,17053,1.0,UNIELEC_DE,linear
