market,host,n_registered_test_days,n_scored_test_days,excluded_unscorable_day_ids,host_mae_abs_price,mdr_mae_abs_price,delta_adapter_mae_abs_price,pir_status,pir_mae_abs_price,best_strict_offline_external_posthoc_method,best_strict_offline_external_posthoc_mae_abs_price,cosa_mae_abs_price,cosa_setting,host_tail_mae_abs_price,host_normal_region_mae_abs_price,host_extreme_day_subset_status,host_negative_subset_status,delta_tail_mae_abs_price,delta_normal_region_mae_abs_price,delta_normal_harm_vs_host_abs_price,delta_normal_harm_vs_host_pct_of_host_normal_mae,cosa_tail_mae_abs_price,cosa_normal_region_mae_abs_price
SHAANXI_DA,iTransformer,81,81,,127.7551218351357,161.6939888079095,126.9718123243626,,,delta-Adapter,126.9718123243626,127.08901172423344,ONLINE_TTA,165.1471488711501,107.13429926379814,OK,NOT_APPLICABLE_N0,162.8748134318601,107.17215249572672,0.03785323192857959,0.03533250526553881,164.9046044380939,106.23460265378046
SHAANXI_DA,LSTM,81,81,,119.39082287727959,140.85185139826328,119.95858034593486,,,delta-Adapter,119.95858034593486,117.24923298453506,ONLINE_TTA,166.25229451463554,93.54782455212958,OK,NOT_APPLICABLE_N0,165.93366213897633,94.60440515120888,1.0565805990792967,1.1294550184761554,159.51306030522983,93.9417272554049
NINGXIA_DA,PatchTST,28,28,,79.77868767011734,123.26201948077816,79.73889418159213,NUMERIC,74.13387971832638,PIR,74.13387971832638,79.28516765435536,ONLINE_TTA,79.73546971719732,79.79559904299907,OK,NOT_APPLICABLE_N0,76.62701655191088,80.95658542798913,1.1609863849900535,1.454950396906524,78.70588610916542,79.51184304160361
NINGXIA_DA,TimeMixer,28,28,,96.69992462793986,112.09536291332915,96.20502290023225,NUMERIC,76.37405177525112,PIR,76.37405177525112,95.83850159602505,ONLINE_TTA,104.67557376276248,93.5790184447484,OK,NOT_APPLICABLE_N0,104.16820258816713,93.08899606582294,-0.49002237892545963,-0.5236455640051217,102.39806691174785,93.27171516813353
NINGXIA_DA,iTransformer,28,28,,85.1584271249317,121.92614617349162,84.5792399621347,,,delta-Adapter,84.5792399621347,84.88224213925146,ONLINE_TTA,72.88969498084336,89.95923535522714,OK,NOT_APPLICABLE_N0,72.57944779342445,89.27481081076043,-0.6844245444667081,-0.7608163205968593,72.71756958646118,89.64233139903895
NINGXIA_DA,LSTM,28,28,,71.59810854139782,122.38230609379355,71.42267046939759,,,delta-Adapter,71.42267046939759,71.44915995143708,ONLINE_TTA,64.300252561216,74.45379131625158,OK,NOT_APPLICABLE_N0,64.22688457953237,74.23841277412747,-0.2153785421241139,-0.2892781392545441,63.977611794042836,74.37280923041745
QINGHAI_DA,PatchTST,27,27,,100.74702271120047,139.22875876660333,101.39566981538349,NUMERIC,101.53471966731695,delta-Adapter,101.39566981538349,99.96931525145048,ONLINE_TTA,72.3783023795954,125.05145646234638,OK,NOT_APPLICABLE_N0,71.806777664725,126.74546566938602,1.6940092070396418,1.354649721772506,71.61741962082012,124.25933471723408
QINGHAI_DA,TimeMixer,27,27,,101.6130767516148,136.51697731781522,101.22461375042245,NUMERIC,99.59726412502336,PIR,99.59726412502336,100.42837054052471,ONLINE_TTA,82.86204130753227,117.67771743293478,OK,NOT_APPLICABLE_N0,82.727492574864,117.07171756558569,-0.605999867349098,-0.5149656881256733,81.29691862980259,116.81892676203162
QINGHAI_DA,iTransformer,27,27,,106.68015325805287,147.2013849078873,107.32903078639949,,,delta-Adapter,107.32903078639949,106.14171363822656,ONLINE_TTA,88.68186817998472,122.09988746533763,OK,NOT_APPLICABLE_N0,88.77816776687087,123.22217704095267,1.1222895756150422,0.9191569287347982,87.96719278988232,121.71243493809742
QINGHAI_DA,LSTM,27,27,,140.7457937899931,150.49487007179377,139.4846027210171,,,delta-Adapter,139.4846027210171,138.64890105139327,ONLINE_TTA,159.44821192508556,124.72280518714884,OK,NOT_APPLICABLE_N0,157.8035916078051,123.79011080941362,-0.932694377735217,-0.7478138230900854,155.85717023455578,123.90599994604771
