market,track,host,seed,method,record_type,block,alpha,calibration_max_index,proposal_min_index,self_excluded,beta_train_max_index
GANSU_DA,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B3,2.229063362665927,43.0,44,True,
GANSU_DA,A_DA,PatchTST,37,S1_DailyPatch_GRU32,alpha,B4,1.4924185855768222,52.0,53,True,
GANSU_DA,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,alpha,B3,2.367981836799282,43.0,44,True,
GANSU_DA,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,alpha,B4,1.626967365053032,52.0,53,True,
GANSU_DA,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B2,,,34,True,33.0
GANSU_DA,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B3,,,44,True,43.0
GANSU_DA,A_DA,PatchTST,37,HSA_HorizonAlignedStateResidual,beta,B4,,,53,True,52.0
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B2,1.9632897515717185,33.0,34,True,
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B3,1.6150983508212693,43.0,44,True,
GANSU_DA,A_DA,TimeMixer,7,S1_DailyPatch_GRU32,alpha,B4,1.2468494169965691,52.0,53,True,
GANSU_DA,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,alpha,B3,3.194338407527935,43.0,44,True,
GANSU_DA,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,alpha,B4,2.2305533465491094,52.0,53,True,
GANSU_DA,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B2,,,34,True,33.0
GANSU_DA,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B3,,,44,True,43.0
GANSU_DA,A_DA,TimeMixer,7,HSA_HorizonAlignedStateResidual,beta,B4,,,53,True,52.0
GANSU_DA,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,alpha,B2,2.3775663725841487,33.0,34,True,
GANSU_DA,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,alpha,B3,1.765571506716349,43.0,44,True,
GANSU_DA,A_DA,TimeMixer,17,S1_DailyPatch_GRU32,alpha,B4,1.8074271873105758,52.0,53,True,
GANSU_DA,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,alpha,B3,3.470804111756269,43.0,44,True,
GANSU_DA,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,alpha,B4,2.490725130574366,52.0,53,True,
GANSU_DA,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,beta,B2,,,34,True,33.0
GANSU_DA,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,beta,B3,,,44,True,43.0
GANSU_DA,A_DA,TimeMixer,17,HSA_HorizonAlignedStateResidual,beta,B4,,,53,True,52.0
GANSU_DA,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,alpha,B2,2.5713173394803857,33.0,34,True,
GANSU_DA,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,alpha,B3,2.3764317398334747,43.0,44,True,
GANSU_DA,A_DA,TimeMixer,37,S1_DailyPatch_GRU32,alpha,B4,2.016798036951306,52.0,53,True,
GANSU_DA,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,alpha,B3,3.5621095670204297,43.0,44,True,
GANSU_DA,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,alpha,B4,2.5824180638921193,52.0,53,True,
GANSU_DA,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,beta,B2,,,34,True,33.0
GANSU_DA,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,beta,B3,,,44,True,43.0
GANSU_DA,A_DA,TimeMixer,37,HSA_HorizonAlignedStateResidual,beta,B4,,,53,True,52.0
