market,track,host,seed,stage,block,beta_DEMAND_FC,beta_RENEWABLE_FC,beta_SUPPLY_MARGIN_FC,beta_INTERCHANGE_FC,beta_MUST_RUN_FC,objective,training_seconds,zero_init_replay_max_abs_diff,n_train_rows
GANSU_DA,A_DA,PatchTST,37,OOF,B4,-0.07985448092222214,-0.04005562141537666,0.0,0.4073035717010498,-0.1644769161939621,0.0480375699698925,0.3876089999685064,5.960464477539063e-08,28
GANSU_DA,A_DA,PatchTST,37,FINAL,,-0.05946074053645134,-0.29752281308174133,0.0,0.11813387274742126,0.05535058304667473,0.05162467435002327,0.39689009997528046,5.960464477539063e-08,36
GANSU_DA,A_DA,TimeMixer,7,OOF,B2,0.0012791840126737952,-0.2606770098209381,0.0,0.25628480315208435,-0.3536292314529419,0.051358334720134735,0.4483951000147499,2.9802322387695312e-08,10
GANSU_DA,A_DA,TimeMixer,7,OOF,B3,0.011167357675731182,0.09584186971187592,0.0,0.11398603767156601,-0.7674278020858765,0.04687683284282684,0.43429280002601445,2.9802322387695312e-08,19
GANSU_DA,A_DA,TimeMixer,7,OOF,B4,0.08508756756782532,-0.14374463260173798,0.0,0.29668989777565,-0.41019919514656067,0.052455607801675797,0.4475922000128776,5.960464477539063e-08,28
GANSU_DA,A_DA,TimeMixer,7,FINAL,,0.03704205900430679,-0.1726342737674713,0.0,0.15979942679405212,-0.16701097786426544,0.05353279411792755,0.4435955999651924,5.960464477539063e-08,36
GANSU_DA,A_DA,TimeMixer,17,OOF,B2,0.021807506680488586,-0.13195520639419556,0.0,0.19351160526275635,-0.18628795444965363,0.04236702248454094,0.37675739999394864,2.9802322387695312e-08,10
GANSU_DA,A_DA,TimeMixer,17,OOF,B3,0.0369330532848835,0.10605499148368835,0.0,0.090192511677742,-0.6078858971595764,0.042951032519340515,0.4145809000474401,2.9802322387695312e-08,19
GANSU_DA,A_DA,TimeMixer,17,OOF,B4,0.056141968816518784,-0.08575896918773651,0.0,0.19709917902946472,-0.27843958139419556,0.0476699098944664,0.4024587000021711,5.960464477539063e-08,28
GANSU_DA,A_DA,TimeMixer,17,FINAL,,-0.0651862695813179,-0.23840004205703735,0.0,0.08875131607055664,0.04423121362924576,0.04804536700248718,0.3857356000225991,5.960464477539063e-08,36
GANSU_DA,A_DA,TimeMixer,37,OOF,B2,-0.0038742711767554283,-0.08630093932151794,0.0,0.15417753159999847,-0.12475026398897171,0.038299236446619034,0.4371660000178963,5.960464477539063e-08,10
GANSU_DA,A_DA,TimeMixer,37,OOF,B3,0.031100481748580933,0.06828588247299194,0.0,0.10937652736902237,-0.577474057674408,0.03852560743689537,0.3663079999969341,5.960464477539063e-08,19
GANSU_DA,A_DA,TimeMixer,37,OOF,B4,0.06664162129163742,-0.12998756766319275,0.0,0.20489604771137238,-0.14725466072559357,0.04727669432759285,0.34835970000131056,5.960464477539063e-08,28
GANSU_DA,A_DA,TimeMixer,37,FINAL,,-0.043822791427373886,-0.2699117362499237,0.0,0.12666940689086914,0.031108710914850235,0.04710915684700012,0.3939237999729812,5.960464477539063e-08,36
