cell,seed,variant,check,step,val_mae_ema,val_mae_raw,train_mae_ema,lr,L_rec,L_b,L_B,L_S,L_total_frozen,aux_mean,used_full_loss_at_this_step,loss_schedule,selected
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,10,500,77.31671905517578,77.48039245605469,73.7348861694336,0.001,2.3000051975250244,0.7831301093101501,0.7390868663787842,2.9638450145721436,3.7953591346740723,1.4953539967536926,false,L_rec_only,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,11,550,77.34207916259766,77.28157043457031,73.29594421386719,0.001,2.28631329536438,0.7830395102500916,0.7474918365478516,2.960693836212158,3.783388376235962,1.4970750610033672,false,L_rec_only,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,12,600,77.33797454833984,77.05424499511719,72.7624282836914,0.001,2.269671678543091,0.7829291820526123,0.8033031821250916,2.9746532440185547,3.7899668216705322,1.5202952027320862,false,L_rec_only,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,13,650,77.28649139404297,76.50466918945312,72.1113052368164,0.001,2.249361276626587,0.782805323600769,0.8965979218482971,3.002537250518799,3.8100080490112305,1.5606468319892883,false,L_rec_only,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,14,700,77.20270538330078,76.36083984375,71.32844543457031,0.001,2.2249414920806885,0.7826714515686035,1.0270075798034668,3.029890298843384,3.8381311893463135,1.6131897767384846,false,L_rec_only,false
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,15,750,77.05762481689453,76.41581726074219,70.45038604736328,0.001,2.197551965713501,0.7825409173965454,1.1759705543518066,3.0531692504882812,3.868112087249756,1.6705602407455444,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,16,800,76.89701080322266,76.40918731689453,69.59600830078125,0.001,2.1709015369415283,0.78238445520401,1.3371694087982178,3.06767201423645,3.8999767303466797,1.729075292746226,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,17,850,76.72764587402344,76.29727935791016,68.91650390625,0.001,2.1497061252593994,0.7822025418281555,1.5026021003723145,3.079834461212158,3.9379191398620605,1.788213034470876,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,18,900,76.58634185791016,76.43273162841797,68.40045166015625,0.001,2.133608818054199,0.7819737195968628,1.6582472324371338,3.0885205268859863,3.97652268409729,1.842913826306661,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,19,950,76.48625183105469,75.96576690673828,67.98301696777344,0.001,2.1205878257751465,0.7817055583000183,1.8152543306350708,3.0914838314056396,4.016736030578613,1.896147906780243,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,20,1000,76.36051177978516,76.00017547607422,67.59469604492188,0.001,2.1084747314453125,0.7813342809677124,1.9582172632217407,3.0966274738311768,4.053867816925049,1.9453930060068767,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,21,1050,76.27289581298828,75.91172790527344,67.25057983398438,0.001,2.097740888595581,0.7809288501739502,2.097379684448242,3.10611891746521,4.092550277709961,1.9948091506958008,false,L_rec_only,true
GANSU_DA__PatchTST,7,G1_GEOM_SHARED_CONTEXT,22,1100,76.18932342529297,76.14623260498047,66.95252227783203,0.001,2.0884437561035156,0.780440092086792,2.2193169593811035,3.1096558570861816,4.12491512298584,2.036470969518026,false,L_rec_only,true
