market,host,cell,seed,variant,struct_variant,mae_struct,mae_direct,gain_struct_vs_direct_pct,host_mae_struct,host_mae_direct,struct_host_gain_pct,direct_host_gain_pct,selected_step_struct,selected_step_direct,stopped_at_step_struct,stopped_at_step_direct,direct_l_rec_only_throughout,direct_selected_check,direct_check_count,history_support_hash_struct,history_support_hash_direct,support_matched,n_train_rows,n_val_rows,data_identity_matched,direct_checkpoint_sha256,direct_parameter_hash,probe_code_hash,matched_code_hash,core_tree,test_target_read_count
SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,74.50969696044922,75.03822326660156,0.7043427777794723,75.07028198242188,75.07028198242188,,0.042704935926335306,600,350,1000,800,true,7,17,6B329D9D59EAE9EB699523194925C7B9904F641A2EE97624151181B32382C557,6B329D9D59EAE9EB699523194925C7B9904F641A2EE97624151181B32382C557,true,916,166,true,D0EA22378BC919835EBC5682802C79D7602AB201028E4D75A4FD8C5E073CAA43,321E56EBB93EF45CB8F38C5BFFA9A4A07D575C0735BACAF56902E3F97DBB093E,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHANDONG_DA,iTransformer,SHANDONG_DA__iTransformer,37,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,74.87422943115234,75.06878662109375,0.2591718858111091,75.07028198242188,75.07028198242188,,0.001991948463008501,550,300,950,800,true,6,17,6B329D9D59EAE9EB699523194925C7B9904F641A2EE97624151181B32382C557,6B329D9D59EAE9EB699523194925C7B9904F641A2EE97624151181B32382C557,true,916,166,true,1F699ADCE505891D5385FFC4E5D443DEB9486AB12380D97D94935F13CC9BBF97,5F58485DE62CED6EA54A1BF43D4AD4A4F4C77C3203594591DFE959C9DD923552,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,103.45059967041016,103.52314758300781,0.07007892852126164,103.59215545654297,103.59215545654297,,0.06661496059332904,300,300,800,800,true,6,17,CCF4DEAEC8B60DE8084F96DC100B7F5B2A0BEEE19D2071974F8A8E188E526C44,CCF4DEAEC8B60DE8084F96DC100B7F5B2A0BEEE19D2071974F8A8E188E526C44,true,219,41,true,9E2367C6433EC74A26DAFC8954C80BD72B3BB482146298976D4476581025C927,73BC016BC08D5AA8ECDD437C414D5F771896BA3DA06321F371713106ECD0A191,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,103.49461364746094,103.06385803222656,-0.4179502140310758,103.59215545654297,103.59215545654297,,0.5099782140724233,250,700,800,1100,true,14,23,CCF4DEAEC8B60DE8084F96DC100B7F5B2A0BEEE19D2071974F8A8E188E526C44,CCF4DEAEC8B60DE8084F96DC100B7F5B2A0BEEE19D2071974F8A8E188E526C44,true,219,41,true,4BE45490A6A8557406D7DFB803BBFD609CF6CAA09BBAEE47472825ED0A384B4E,DC40B4CDE5C269751E7B3EFABDF8693D2C07A19E45E0308E136A90A4F938F7DD,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHAANXI_DA,TimeMixer,SHAANXI_DA__TimeMixer,37,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,103.46998596191406,103.52294921875,0.051160884843053554,103.59215545654297,103.59215545654297,,0.06680644638386818,250,300,800,800,true,6,17,CCF4DEAEC8B60DE8084F96DC100B7F5B2A0BEEE19D2071974F8A8E188E526C44,CCF4DEAEC8B60DE8084F96DC100B7F5B2A0BEEE19D2071974F8A8E188E526C44,true,219,41,true,843C36A6B112F65F4392787914178EB94DA691F2AE71831E5090EB844ABFFD49,F55111CE18664265B6B44EC873C047DEB5A01FAB6E9AADFF75258FBD98E8CB4C,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHAANXI_DA,PatchTST,SHAANXI_DA__PatchTST,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,111.96552276611328,111.96527099609375,-0.00022486438633282437,111.96537780761719,111.96537780761719,,9.539692137780956e-05,0,0,800,800,true,0,17,F69EB9607B2AFBF0773418D13DBD266D7888882D27ECD1C340069D0FCB966BBB,F69EB9607B2AFBF0773418D13DBD266D7888882D27ECD1C340069D0FCB966BBB,true,219,41,true,68AE6DC594A4D8B6773C374481B83FAD790834E8181BB9AECAEDD2BC1C953CA7,D02991A3DE3B2EF8CC18EE59BE3A5C1A676FD7E667C285DB644F146393B6D3AB,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHAANXI_DA,PatchTST,SHAANXI_DA__PatchTST,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,106.7567138671875,108.548095703125,1.6503116193183736,111.96537780761719,111.96537780761719,,3.052088218166763,800,1150,1200,1550,true,23,32,F69EB9607B2AFBF0773418D13DBD266D7888882D27ECD1C340069D0FCB966BBB,F69EB9607B2AFBF0773418D13DBD266D7888882D27ECD1C340069D0FCB966BBB,true,219,41,true,23688E3B174B3F70DE59AA770166711E38D65B95C6FF1838F3D18D529016700D,DFF30C8987C0224CA562F790542D7C8373E3C27C548FA233C70F2F586BA91408,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
SHAANXI_DA,PatchTST,SHAANXI_DA__PatchTST,37,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,106.24365234375,106.7661361694336,0.48937223395855856,111.96537780761719,111.96537780761719,,4.643615499710198,1050,1250,1450,1650,true,25,34,F69EB9607B2AFBF0773418D13DBD266D7888882D27ECD1C340069D0FCB966BBB,F69EB9607B2AFBF0773418D13DBD266D7888882D27ECD1C340069D0FCB966BBB,true,219,41,true,E9884A1FA0D172C94136E361969E275A9B0589A8C8F2963EFAD855E3D28D41D2,51949C24E02DE248318639C954F64EB4E6DBB1B451BF317FCC9BE15A2E5FDA51,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
NINGXIA_DA,iTransformer,NINGXIA_DA__iTransformer,7,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,67.939697265625,68.9839859008789,1.5138131286794798,71.31417083740234,71.31417083740234,,3.2674921536089974,600,650,1000,1050,true,13,22,8B1E09D8B9AAB3D967283772AB8995137EDC73AFEE0B6FD47E6A6C0D6566B575,8B1E09D8B9AAB3D967283772AB8995137EDC73AFEE0B6FD47E6A6C0D6566B575,true,72,16,true,61BC38B77198B51B6588E294F77D8BC24CC63E47ABDB5C003F48DC2094E050D4,82E6E773F6A8A9A717B029F3A6D1C430C6388C5BA8EB6667844DE991F2A2BEC5,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
NINGXIA_DA,iTransformer,NINGXIA_DA__iTransformer,17,G3_SHARED_DIRECT_CONTEXT_CTRL,G1_GEOM_SHARED_CONTEXT,69.13137817382812,67.30262756347656,-2.717205370067868,71.31417083740234,71.31417083740234,,5.625169902167377,500,800,900,1200,true,16,25,8B1E09D8B9AAB3D967283772AB8995137EDC73AFEE0B6FD47E6A6C0D6566B575,8B1E09D8B9AAB3D967283772AB8995137EDC73AFEE0B6FD47E6A6C0D6566B575,true,72,16,true,ACF6A1D1063CC36E53DD3713D05B04B6A85D7C4744E8ACAE858DD63E3DFF71FC,2F97E93BA645267BDC55551F429C555C26E9A448BFDA637393C485100D990883,C38EDD49D87E5E5A5D71ABFA6951E6C029D5F141F4DB01859E7F0A6B60144880,761EA24AABC78491583470F27BEF029B959EE0D9EFAED4C571721B8E548169F5,6F18C0E4241A299E32C8D8A617061BAEAA7B8DC98B4EE069DC67199B87531577,0
