group_type,group,view,metric,n_days,rho_perday_median,rho_perday_positive_frac,rho_pooled_7xN,n_pairs_pooled,frac_headroom_recovered_median,frac_defined_frac,err_summary_uniform_median,err_summary_massweighted_median,err_legal_median,err_oracle_median
HOST_FAMILY,PatchTST,abs,shape_dist,1777,0.0,0.4991558806978053,0.058733605148897576,12439,-0.505175947588302,0.8587507034327518,4.105596434508038,4.2412204708718155,5.173788874565075,2.3818019078279087
HOST_FAMILY,PatchTST,rel,b_dist,1777,0.03571428571428571,0.5070343275182893,0.1556551309764977,12439,-0.2705014446807964,0.8745075970737197,0.7952421427214653,0.8984126061650887,1.0758313457607258,0.21007584404953428
HOST_FAMILY,PatchTST,rel,logB_dist,1777,0.03571428571428571,0.5036578503095104,0.07831213187938878,12439,-0.11687923339113945,0.8970174451322454,0.3912926406402396,0.41349656696843384,0.4553986254488829,0.08562971109447426
HOST_FAMILY,PatchTST,rel,shape_dist,1777,0.03571428571428571,0.5070343275182893,0.05901906595909231,12439,-0.4689256431715867,0.8587507034327518,4.105596434508038,4.2412204708718155,5.089745150618799,2.3818019078279087
HOST_FAMILY,TimeMixer,abs,b_dist,1777,0.03571428571428571,0.5014068655036579,0.14072462366205546,12439,-0.2585560272154814,0.8840742824985931,0.810992805577781,0.9198718795010504,1.038451253733295,0.20767031132166802
HOST_FAMILY,TimeMixer,abs,logB_dist,1777,0.0,0.4772087788407428,0.05899688450240576,12439,-0.18068589008645577,0.88351153629713,0.3608054220207756,0.39053298859774577,0.4436271901230185,0.08200386272969529
HOST_FAMILY,TimeMixer,abs,shape_dist,1777,0.0,0.49577940348902644,0.054577675262014444,12439,-0.5846489004825117,0.8700056274620146,3.9970440025660907,4.124695108357815,5.10009727139132,2.357311098535057
HOST_FAMILY,TimeMixer,rel,b_dist,1777,0.0,0.4907146876758582,0.16123487044240944,12439,-0.25491341687891145,0.8840742824985931,0.810992805577781,0.9198718795010504,1.093884730271691,0.20767031132166802
HOST_FAMILY,TimeMixer,rel,logB_dist,1777,0.03571428571428571,0.5075970737197524,0.04429565117364854,12439,-0.15431745883131595,0.88351153629713,0.3608054220207756,0.39053298859774577,0.4336651559602682,0.08200386272969529
HOST_FAMILY,TimeMixer,rel,shape_dist,1777,0.03571428571428571,0.5239167135621835,0.05145942310084783,12439,-0.46213697302895784,0.8700056274620146,3.9970440025660907,4.124695108357815,4.990020745908111,2.357311098535057
HOST_FAMILY,iTransformer,abs,b_dist,1777,-0.03571428571428571,0.45469893078221724,0.10463417576645079,12439,-0.18397055639958276,0.9037703995498031,0.8719424552894725,0.9579517554996161,1.091764785342977,0.215339817629518
HOST_FAMILY,iTransformer,abs,logB_dist,1777,0.0,0.47945976364659537,0.07671655240767478,12439,-0.1573550717392589,0.9026449071468767,0.38477386248770756,0.40888446364369546,0.4631224804184578,0.09115721890367567
HOST_FAMILY,iTransformer,abs,shape_dist,1777,0.0,0.49015194147439506,0.060306225727617194,12439,-0.40195820062888593,0.8778840742824986,4.1396493896902005,4.301104429818377,5.058735384400442,2.392427517916075
HOST_FAMILY,iTransformer,rel,b_dist,1777,0.0,0.47889701744513224,0.15648010695592096,12439,-0.12390864850597647,0.9037703995498031,0.8719424552894725,0.9579517554996161,1.0263558293648074,0.215339817629518
HOST_FAMILY,iTransformer,rel,logB_dist,1777,0.0,0.473832301631964,0.07267622186501127,12439,-0.09102043874910165,0.9026449071468767,0.38477386248770756,0.40888446364369546,0.43983905500485404,0.09115721890367567
HOST_FAMILY,iTransformer,rel,shape_dist,1777,0.03571428571428571,0.501969611705121,0.037675079389283744,12439,-0.3294211699138035,0.8778840742824986,4.1396493896902005,4.301104429818377,4.961105598201958,2.392427517916075
LOW_GAIN_CELLS,LOW_GAIN_CELLS,abs,b_dist,3476,0.0,0.4784234752589183,0.12382455602116985,24332,-0.22841651779290106,0.8915420023014959,0.8348835183459207,0.9216621926608206,1.0382654859619005,0.21155067080490164
LOW_GAIN_CELLS,LOW_GAIN_CELLS,abs,logB_dist,3476,0.0,0.48130034522439585,0.06632158827867228,24332,-0.17451280581953443,0.8872266973532796,0.3759438397239426,0.399721802105749,0.45192959365557694,0.08592059441252825
LOW_GAIN_CELLS,LOW_GAIN_CELLS,abs,shape_dist,3476,0.0,0.48849252013808975,0.06120900355800237,24332,-0.4565045111293535,0.8739930955120828,4.076362121631044,4.214678483431438,5.0998137180046825,2.3828768223209824
LOW_GAIN_CELLS,LOW_GAIN_CELLS,rel,b_dist,3476,0.0,0.4853279631760644,0.15251681592385924,24332,-0.19590382634369113,0.8915420023014959,0.8348835183459207,0.9216621926608206,1.0217410630586095,0.21155067080490164
LOW_GAIN_CELLS,LOW_GAIN_CELLS,rel,logB_dist,3476,0.0,0.4902186421173763,0.059922067545599325,24332,-0.12662351293950846,0.8872266973532796,0.3759438397239426,0.399721802105749,0.4378590189677827,0.08592059441252825
LOW_GAIN_CELLS,LOW_GAIN_CELLS,rel,shape_dist,3476,0.03571428571428571,0.512945914844649,0.04579484268512654,24332,-0.39818328782544243,0.8739930955120828,4.076362121631044,4.214678483431438,4.942274876182211,2.3828768223209824
